;extension;CR;location;working_hours;price;const_year
0;D;0;FI;8973;44900;2011
1;E2;1;PL;4183;49040;2016
2;E2;1;PL;4655;57943;2017
3;E2;1;GB;3175;45335;2015
4;E2;1;GB;2500;51222;2018
5;D;1;IT;6000;38000;2010
6;E2;1;FR;3018;59500;2017
7;D;1;FI;8055;42900;2011
8;E2;0;DE;3071;41176;2017
9;;1;NL;415;88500;2021
10;E;1;PL;6270;156000;2012
11;C;1;DE;5541;39900;2008
12;E;1;DE;7099;46500;2012
14;E2;1;DE;3400;50000;2014
15;E;1;DE;4209;47000;2014
16;E2;1;GB;2000;64554;2019
17;;1;GB;3295;66375;2019
18;E;0;GB;4500;38132;2014
19;D;1;FR;6390;30000;2010
20;E2;1;FR;2956;60000;2017
21;E2;1;SE;4223;65460;2016
22;E2;1;FI;4257;69900;2017
23;E2;1;SE;6800;54654;2014
24;E2;1;DE;2568;61890;2016
25;E2;1;GB;3900;45300;2017
26;E2;1;GB;3275;44704;2015
27;;1;DE;998;84750;2020
28;E2;1;CH;2023;70743;2018
29;E;1;AT;12300;36000;2012
30;;1;GB;2860;68126;2019
31;E2;1;SE;1680;77353;2017
32;E;0;ES;2600;80000;2018
33;E2;1;SE;4500;63164;2015
34;E;1;FR;1800;80000;2020
35;D;0;AT;3245;55500;2012
36;E;1;DE;5900;39500;2012
37;E;1;DE;2155;77900;2018
39;E2;1;GB;1972;82694;2019
40;E;1;BE;2885;41000;2013
41;;1;FI;1615;110000;2019
42;E;1;NL;750;91000;2020
43;E2;0;GB;736;64783;2018
44;E2;1;IT;2653;63000;2018
45;C;0;FI;7998;38500;2005
46;E2;1;IE;4080;72526;2016
47;E2;1;AT;12375;47500;2014
48;D;0;DE;3400;50500;2011
49;E;0;GB;1933;90822;2017
50;E;1;NL;7748;39900;2012
51;E2;1;RO;5200;51000;2014
52;E2;1;NL;9333;42950;2013
53;E2;1;FI;3704;56000;2013
54;E2;1;GB;5300;36946;2014
55;E2;1;NL;314;97500;2019
56;E2;1;GB;5162;35242;2013
57;D;1;FI;7729;44500;2011
58;D;1;FI;4750;49900;2010
