,extension,L,RR,LR,GC,location,working_hours,price,const_year
0,,0,0,0,0,GB,5000,129823,2018
1,,0,0,0,0,RU,7340,150972,2018
2,E,1,0,0,0,NO,8906,78954,2012
3,D2,1,0,0,0,NL,6070,99000,2018
4,NG,0,0,0,1,DE,550,87000,2019
5,D,1,0,0,0,NL,9644,42500,2007
7,D,0,0,0,0,NL,7486,63900,2010
8,E,1,0,0,0,DE,6971,71500,2013
9,D,0,0,0,0,NL,12609,58900,2010
10,D,1,1,0,0,NO,6000,70874,2011
11,F,1,0,0,0,NL,5703,100000,2017
12,E,1,0,0,0,SE,10625,86064,2012
13,D,1,0,0,0,TR,10535,74250,2013
14,NG,0,0,0,1,NL,2700,97500,2020
15,NG,0,0,0,1,NL,2542,97500,2019
16,,0,0,0,0,GB,3100,179726,2018
17,D,0,0,0,0,PL,12000,21500,2008
18,E,1,0,0,0,LV,8600,83500,2015
19,D,0,0,0,0,NL,7740,61900,2010
20,C,0,0,0,0,IT,6000,48000,2005
21,E,1,0,0,0,PL,4980,88000,2014
22,E,1,0,0,0,DE,9508,68500,2013
23,E,1,0,0,0,DE,7134,68900,2012
24,NG,0,0,0,1,AT,1302,125900,2019
25,E,1,0,0,0,DE,10000,64900,2012
26,D,1,0,0,0,BG,8111,58900,2010
27,E,1,0,0,0,DE,9150,69500,2012
28,E,1,0,0,0,NO,7735,98770,2015
29,C,1,0,0,0,NL,13073,41000,2006
30,NG,0,0,0,1,BY,3100,115000,2020
31,E,1,0,0,0,NO,8750,86780,2014
32,D,1,0,0,0,GB,9700,49453,2007
33,,0,0,0,0,FR,578,190000,2020
34,,0,0,0,0,FR,726,190000,2020
35,C,0,0,0,0,PL,18855,37284,2003
36,D,0,0,0,0,ES,13600,56000,2010
37,,0,0,0,0,GB,3200,175961,2018
39,NG,0,0,0,1,DE,249,180500,2020
40,D3,0,0,0,1,BE,715,89000,2020
41,,0,0,0,0,GB,4607,107248,2018
42,D,1,0,0,0,GB,11695,51192,2011
43,C,1,0,0,0,NL,9344,48500,2005
45,D,1,0,0,0,GB,12000,45765,2007
46,D,1,0,0,0,FR,8258,52000,2011
47,E,1,0,0,0,BE,6875,79500,2015
48,NG,0,0,0,0,DE,1737,165000,2020
49,E,1,1,0,0,IE,9300,66500,2013
50,NG,0,0,0,0,AT,4355,121500,2018
51,E,0,0,0,0,NO,7600,99430,2015
52,E,0,0,0,0,PL,9377,112100,2015
53,D,1,0,0,0,NL,16339,37500,2008
54,D,1,0,0,0,NL,12982,47500,2008
55,C,0,0,0,0,NL,14623,47900,2002
56,D2,0,0,0,1,BE,5942,68880,2017
57,E,1,0,1,0,FI,9590,89500,2013
58,D,0,0,0,0,NL,13725,49800,2009
59,E,1,0,0,0,NO,8800,83580,2014
60,C,0,0,0,0,PL,12036,47044,2005
61,E,1,0,0,0,ES,6949,104500,2016
62,F,0,0,0,0,FR,7696,95000,2016
63,D,1,0,0,0,FR,8250,55000,2011
64,E,1,0,0,0,PL,12372,65000,2012
65,D,0,0,0,0,BY,8600,46900,2010
66,E,1,1,0,0,NO,7700,99770,2015
67,E,1,0,0,0,DE,9040,67500,2013
68,D,1,1,0,0,NO,9200,47326,2011
69,E,1,1,0,0,SE,11807,68563,2013
70,B,0,0,0,0,IE,13057,29950,2005
71,E,1,1,0,0,BE,10748,59000,2014
72,E,1,0,0,0,PL,7800,77500,2014
73,D,0,0,0,0,FR,16737,42900,2010
74,E,1,0,0,0,NL,9701,10000,2013
75,E,1,1,0,0,DE,8558,102221,2013
76,E,0,0,0,0,FR,10687,65000,2012
77,E,1,0,0,0,LT,11000,70000,2015
78,D,0,0,0,0,NL,11075,51900,2008
79,NG,0,0,0,0,BE,321,175000,2020
80,NG,0,0,0,0,NL,469,185914,2019
81,NG,0,0,0,0,DE,3374,159000,2019
82,E,1,1,0,0,FI,7800,105000,2014
83,E,1,1,0,0,PL,7720,74500,2015
84,E,1,1,0,0,FI,9674,98000,2015
85,D,1,0,0,0,FI,7814,46000,2008
86,E,1,1,0,0,DE,6900,69500,2012
87,E,0,0,0,0,EE,9996,62500,2012
88,E,1,0,0,0,GB,8300,71080,2015
89,B,0,0,0,0,IE,13213,30000,2004
90,NG,0,0,0,0,DE,5027,120000,2018
91,D,0,0,0,0,NL,17897,47800,2007
92,E,1,0,0,0,NL,12081,69800,2013
93,F,1,0,0,0,PT,8776,69000,2012
94,NG,0,0,0,0,DE,3885,168948,2018
95,E,0,0,0,0,NL,8458,69000,2012
96,NG,0,0,0,1,FR,1515,155000,2018
97,E,1,1,0,0,NL,8169,67800,2014
98,E,0,0,0,0,DE,6500,118000,2016
99,E,1,0,0,0,DE,10611,66000,2012
100,D2,0,0,0,0,UA,1608,117000,2018
101,D,0,0,0,0,UA,1750,115000,2018
102,NG,0,0,0,1,DE,246,134500,2020
103,E,0,0,0,0,NL,11760,66900,2013
104,E,1,1,0,0,PL,9500,61858,2014
105,NG,0,0,0,1,TR,2710,95000,2020
106,E,1,1,0,0,FI,9300,82000,2015
107,C,1,0,0,0,FI,12725,49900,2003
108,E,0,0,0,0,FR,4335,120000,2015
109,D,1,0,0,0,TR,8470,72000,2014
110,F,1,0,0,0,FR,7200,103000,2017
111,NG,0,0,0,1,PL,3215,136000,2020
112,NG,0,0,0,0,PL,2801,128000,2019
113,C,1,0,0,0,NL,9322,39500,2004
114,C,1,0,0,0,NL,9000,39500,2002
115,F,1,0,0,0,PL,3744,156000,2016
116,E,1,0,0,0,NO,8500,64611,2014
117,,0,0,0,0,TR,3000,96400,2018
118,E,1,0,0,0,NO,9950,71911,2013
119,E,1,0,0,0,DE,10600,60900,2013
120,F,1,0,0,0,SE,7337,116581,2016
121,D3,0,0,0,0,BE,895,89000,2019
122,D,1,0,0,0,NL,18706,49800,2011
123,D,1,0,0,0,PL,11147,41430,2010
124,D3,0,0,0,0,NL,1403,81800,2018
125,D3,0,0,0,0,NL,1701,86800,2020
126,D,0,0,0,0,NL,1364,85800,2018
127,E,1,0,0,0,NL,10275,62900,2012
128,F,1,0,0,0,FI,3330,124900,2017
129,E,1,0,0,0,EE,12076,67900,2013
130,NG,0,0,0,1,FR,1181,150000,2019
131,E,0,0,0,0,FR,8443,70000,2015
132,D,1,0,0,0,EE,22000,8000,2007
