,extension,L,VA,SA,N,location,working_hours,price,const_year
0,E,0,0,0,0,FI,11483,86700,2012
1,E,1,0,0,0,EE,12081,67900,2013
2,D,1,0,0,0,DE,13900,55000,2009
3,E,1,0,0,0,NL,8765,75000,2014
4,D3,0,0,0,0,NL,1621,94800,2021
5,E,1,0,0,1,IT,2820,97000,2016
6,E,1,0,0,0,NO,6273,107391,2015
7,E,0,0,0,0,DE,9362,70000,2014
8,D,1,0,0,0,DE,12800,59900,2011
9,D,0,0,0,0,DE,7100,75000,2011
10,E,0,0,0,0,DE,6140,79990,2012
11,F,1,0,0,0,PL,7400,105500,2016
12,E,1,0,0,0,NL,8500,69000,2011
13,E,1,0,0,0,DE,11000,66900,2013
14,E,0,0,0,0,DE,7280,52941,2012
15,D,0,0,0,0,NL,19495,46800,2010
16,E,1,0,0,0,FR,2924,145000,2016
17,E,1,0,0,0,DE,8900,53900,2012
18,F,0,0,0,1,FR,4274,145000,2017
19,E,1,0,0,0,NL,7633,66500,2013
20,D,1,0,0,0,NL,7660,67500,2011
21,E,0,0,1,0,FR,5437,150000,2016
22,D,1,0,0,0,DE,14800,47000,2007
23,D,0,0,0,0,DE,9227,61000,2010
24,D,1,0,0,1,IT,13250,46500,2008
25,E,1,0,0,0,NO,5955,119007,2014
26,E,1,0,0,1,FR,3477,125000,2016
27,E,1,0,0,0,DE,7800,81000,2014
28,D,1,0,0,1,PL,17100,36500,2007
29,E,1,0,0,0,NO,12079,70550,2013
30,D,1,0,0,0,PL,10031,60730,2011
31,F,0,0,0,0,PL,9240,117212,2017
32,D,1,0,0,0,BE,8800,55000,2008
33,D,1,0,0,0,NL,12200,49900,2010
34,E,1,0,0,0,DE,11500,66900,2013
35,D,1,0,0,0,SE,11241,45804,2008
36,D,1,0,0,0,DE,6733,77000,2009
37,D,1,0,0,0,NL,9216,51500,2009
38,D,1,0,0,0,AT,18849,45850,2008
39,D,0,0,0,0,NL,9576,57000,2011
40,D,0,0,0,0,IT,12530,35000,2008
41,F,0,0,0,0,DE,6547,92000,2017
42,D,1,0,0,0,PL,8911,71600,2011
43,F,1,0,0,1,PT,3900,140000,2019
44,D,0,0,0,0,NL,17786,45900,2008
46,E,1,0,0,0,PL,8920,53412,2012
47,D,1,0,0,0,PL,10000,40000,2007
48,D,1,0,0,0,NL,15000,46900,2010
49,F,1,0,0,1,SK,3510,139000,2017
50,D,0,0,0,0,NL,12329,53900,2009
51,D,1,0,0,0,NL,12558,48500,2008
52,D3,0,0,0,0,NL,3463,89800,2020
53,D,1,0,0,0,BE,9371,54000,2010
54,F,1,0,0,1,ES,1579,148000,2018
55,E,0,0,0,0,DE,7276,64000,2012
56,E,0,0,1,0,FR,4542,145000,2016
57,D,0,0,0,0,NL,13279,51900,2007
58,F,0,0,0,0,NL,1835,570000,2018
59,NG,0,0,0,0,DE,4277,169000,2018
60,E,1,0,0,0,PL,8200,72000,2012
61,E,0,0,0,0,PL,15094,62230,2014
62,D,1,0,0,0,PL,8600,55430,2011
63,D,1,0,0,0,CZ,12120,49610,2008
64,NG,0,0,0,0,GB,3558,145359,2019
65,E,1,0,0,0,NL,10978,64800,2013
66,F,1,0,0,0,PL,5145,139000,2017
67,D,1,0,0,1,HU,18000,40740,2008
68,F,1,0,0,0,DE,8328,98500,2016
69,D,1,0,0,0,PL,12961,53471,2009
70,D,1,0,0,1,NL,7865,49800,2009
71,D,1,0,0,0,NL,12743,53800,2011
72,D,1,0,0,0,NL,19699,41900,2008
73,E,1,0,0,0,NL,12016,62800,2013
74,E,1,0,0,0,HU,10000,73000,2013
75,D,0,0,0,0,NL,10330,45800,2008
76,E,1,0,0,0,NL,13303,61800,2012
77,E,1,0,0,0,NL,11563,62800,2013
78,NG,0,0,0,0,PL,1476,140000,2018
79,E,0,0,0,0,NL,8687,69800,2012
80,E,1,0,0,0,PL,12090,78500,2013
81,E,1,0,0,0,EE,10296,63500,2014
82,E,1,0,0,0,BE,13300,65000,2012
83,E,1,0,0,0,PL,11000,63590,2011
84,F,1,0,0,0,PL,7700,99010,2016
85,E,1,0,0,0,PL,9900,78110,2014
86,E,0,0,0,0,DK,13745,62500,2012
87,D,0,0,0,0,NL,10525,49800,2008
88,F,1,0,0,0,SE,5735,133795,2017
89,D,1,0,0,0,NL,12742,49900,2011
90,D,1,0,0,0,NL,11000,52500,2010
91,D,1,0,0,0,NL,18497,49000,2008
92,D,1,0,0,0,NL,9975,58500,2008
93,D,1,1,0,0,NL,11433,49800,2008
94,D,1,0,0,0,NL,12250,53500,2009
95,D,1,0,0,0,BE,11000,53000,2011
96,D,0,0,0,0,EE,4468,67900,2008
97,NG,0,0,0,0,NL,2204,149000,2018
98,D,1,0,0,0,ES,10000,69500,2011
