,extension,L,N,location,working_hours,price,const_year
0,E,0,0,SE,7508,113768,2015
1,D,1,1,HR,12129,75500,2009
2,E,0,0,NL,12927,73800,2012
3,E,0,0,NL,12039,71800,2012
4,E,0,0,DE,9900,83900,2011
5,E,1,1,DE,10600,77000,2012
6,D,0,0,CH,18180,47499,2008
7,E,1,0,DE,11424,72900,2012
8,E,0,0,DE,11500,89900,2014
9,E,0,0,NL,12281,72800,2012
10,E,1,1,UK,6099,54310,2014
11,E,1,1,SK,8350,145000,2015
12,E,1,0,GB,8424,81789,2014
13,E,0,0,IT,14096,70000,2012
14,E,0,0,PL,16409,74190,2012
15,D,1,1,BE,11000,62000,2010
16,E,1,1,CZ,11000,92032,2013
17,D,1,0,BE,6013,79000,2013
18,E,1,0,NL,12037,89500,2014
19,E,1,0,EE,12282,74000,2012
20,E,1,0,DE,10157,102221,2012
21,E,1,0,DE,10834,108171,2014
22,D,1,0,NL,9393,59500,2011
23,E,1,1,DE,11173,89900,2014
24,E,0,0,FI,9175,100000,2014
25,D,1,0,GB,14429,55184,2010
26,E,0,0,NO,5250,94575,2012
27,E,1,1,BE,7111,106000,2014
28,D,0,0,NL,10858,10000,2010
29,E,0,0,FR,5297,150000,2015
30,E,1,1,NL,11620,77900,2012
31,E,1,0,GB,9741,81749,2011
32,E,1,0,GB,7000,95323,2015
33,D,1,0,NL,5618,83295,2009
34,E,1,0,NL,14104,74800,2015
35,E,1,0,NL,15424,79800,2012
36,D,1,1,BE,11700,67000,2010
37,D,1,1,BE,11400,69000,2010
38,D,1,0,DE,9800,95000,2011
39,D,1,0,TR,14000,80000,2015
40,E,1,0,DE,11000,78000,2012
41,E,1,1,HR,12516,80500,2011
42,E,1,0,NO,8347,113743,2015
43,D,1,0,BE,6004,82000,2013
44,D,1,0,BE,5073,84000,2013
45,E,1,1,DE,11617,69000,2012
46,D,1,0,PL,9440,393000,2009
47,E,1,1,PL,9253,90108,2014
48,E,1,0,PL,7274,109936,2015
49,E,1,0,FI,10500,99000,2015
50,E,0,0,PL,11606,68297,2011
51,E,0,0,NL,7352,99000,2014
52,D,0,0,SE,12204,76874,2011
53,D,1,0,NL,14200,71000,2010
55,E,1,1,PL,14000,68470,2012
56,E,1,0,PL,7140,112841,2012
57,D,1,0,TR,7205,95000,2014
58,E,1,0,DE,10272,120000,2015
59,D,1,0,NL,8489,69000,2011
60,E,1,0,BE,8700,73000,2012
61,E,0,0,NL,11446,69500,2011
62,E,1,0,NL,12180,76500,2011
63,D,0,0,IT,13137,68000,2011
64,E,1,0,NL,6911,115000,2015
65,E,1,1,PL,11000,71000,2011
66,E,0,0,ES,7020,137000,2014
67,E,1,1,AT,6197,119500,2015
68,E,1,1,NL,11229,75900,2011
69,E,1,1,CH,8101,124469,2015
70,E,1,1,DE,10302,81000,2015
71,E,1,0,DE,12000,95000,2014
72,E,1,0,NL,14823,76800,2014
73,E,1,1,CH,10140,130504,2015
74,E,1,0,NL,13200,71800,2012
75,E,1,0,NL,10388,69500,2015
76,D,1,0,FI,13954,56000,2007
77,D,0,0,NL,14338,69900,2009
78,E,0,0,FR,10429,67000,2013
79,E,1,0,NL,9142,84500,2015
80,D,1,1,NL,12225,73900,2009
81,E,1,1,PL,3842,104306,2012
82,E,0,0,DE,8135,89000,2015
83,E,1,0,ES,9147,67500,2012
84,E,1,0,SE,11155,102459,2015
85,E,1,1,DE,9227,89000,2014
