;extension;L;N;LR;GC;location;working_hours;price;const_year
0;D2;1;0;0;0;NL;6700;135000;2018
1;D2;1;0;0;0;NL;10200;107900;2015
2;D2;1;0;0;0;UA;5639;125000;2016
3;D;0;0;0;0;SI;12450;97903;2008
4;C;0;0;0;0;NL;11894;53800;2004
5;C;1;0;0;0;GB;11000;105567;2006
6;D;1;0;0;0;ES;8167;40909;2007
7;D;1;0;0;0;DE;13554;59900;2007
8;NG;0;0;0;0;DE;1166;239500;2020
9;D;1;0;0;0;NL;19730;52000;2006
10;;0;0;0;0;GB;3600;236497;2019
11;F;1;1;0;0;NL;5700;145000;2018
12;F;1;1;0;0;AT;8450;125000;2017
13;F;1;1;0;0;AT;8435;124500;2017
14;D;1;0;0;0;DE;15000;49300;2008
15;D;0;0;0;0;AT;23158;46900;2009
16;D;1;0;1;0;DE;18376;105791;2008
17;C;1;1;0;0;IT;18344;45000;2005
18;D;0;0;0;0;NL;21298;54800;2006
19;D;1;0;0;0;BE;11750;61500;2008
20;F;1;0;0;0;DE;1069;315638;2017
21;F;0;0;0;0;DE;8456;89850;2016
22;D;1;0;0;0;NL;17411;61500;2007
23;NG;0;0;0;0;NL;3593;179000;2019
24;D;1;0;0;0;UA;13100;186000;2008
25;D;1;1;0;0;NL;14862;68900;2008
26;F;1;0;0;0;NL;11297;98750;2016
27;F;1;0;0;0;BE;6213;129000;2016
28;D2;1;0;0;0;NL;4287;119000;2015
29;C;0;0;0;0;NL;22423;52800;2003
30;F;1;1;0;0;DE;8071;144000;2016
31;F;1;0;0;0;BE;4601;149000;2016
32;D;0;0;0;0;BE;15477;70000;2008
33;D;1;0;0;0;FR;10000;45600;2008
34;F;0;0;0;0;FR;3635;205000;2018
35;C;1;1;0;0;DE;11000;81991;2004
36;D;1;0;0;0;NL;17000;59500;2008
37;D;1;0;0;0;NL;11144;52500;2007
38;D;1;0;0;0;NL;12652;95000;2008
39;D;1;0;0;0;FI;17761;53000;2006
40;D;0;0;0;0;FI;21291;48000;2006
41;NG;0;0;0;0;BY;3600;169000;2020
42;C;0;0;0;0;GB;12000;105957;2005
43;F;0;0;0;0;NO;10278;128253;2017
44;D2;1;0;0;0;NL;7100;95000;2017
46;D;1;0;1;0;NL;22662;64800;2007
47;F;1;1;0;0;DE;6164;138500;2017
48;D;1;0;0;0;ES;7912;100894;2006
49;F;0;0;0;0;NL;7262;123500;2016
50;F;1;0;0;0;DE;9507;119000;2016
51;D;0;0;0;0;FR;12504;77900;2006
52;D;0;0;0;0;RO;16966;50000;2008
53;F;1;0;0;0;GB;4464;126695;2016
54;D;1;0;0;0;GB;10000;69984;2008
55;D2;1;0;0;0;NL;10836;89000;2015
56;F;0;0;0;0;NL;3848;189000;2018
57;D;0;0;0;0;NL;13106;139000;2006
58;D;0;0;0;0;NL;14000;57000;2007
59;D;1;0;0;0;ES;13500;72000;2008
60;F;1;0;0;0;BE;3740;145000;2017
61;F;1;0;0;0;NL;11926;93900;2016
62;NG;0;0;0;0;PL;1820;195000;2020
63;D;1;0;0;0;DE;15183;65000;2007
64;D;1;0;0;0;NL;9234;60000;2007
65;C;1;0;0;0;NL;10470;52500;2002
66;D;1;0;0;0;NL;8144;60000;2008
67;D;1;0;0;0;DE;12300;61500;2007
68;D;0;0;0;0;NL;11064;62800;2008
