;extension;L;N;H;LR;ME;GC;location;working_hours;price;const_year
0;F;1;1;0;0;0;0;DE;6803;299000;2015
1;E;0;0;1;0;0;0;IT;10129;167000;2015
2;F;1;1;0;0;0;0;DE;11000;120000;2015
3;F;1;1;0;0;0;0;DE;10229;122500;2015
4;D;1;1;0;0;0;0;DE;10300;81000;2012
5;E;0;0;0;0;0;0;RO;11318;88235;2012
6;E;1;0;0;0;0;0;DE;9500;124500;2014
7;E;0;0;0;0;0;0;DE;12500;86950;2013
8;D;1;1;0;0;0;0;NL;20203;66000;2011
9;D;1;0;0;0;0;0;RO;13500;73900;2012
10;F;0;0;0;0;0;0;IE;9212;100000;2015
11;F;0;0;0;0;0;0;FR;5534;238000;2018
12;E;1;1;0;0;0;0;PL;10500;107330;2014
13;D;1;0;0;0;0;0;UA;14000;89000;2009
14;E;1;1;0;0;0;0;DE;7200;125000;2014
15;E;1;0;0;0;0;0;GB;9030;93923;2014
16;E;1;1;0;0;0;0;PL;13300;74594;2013
17;E;1;0;0;0;0;0;FR;13712;76900;2010
18;D2;1;0;0;0;0;0;BE;6070;129883;2017
19;D2;1;0;0;0;0;0;BE;8216;120262;2016
20;F;1;1;0;0;1;0;NL;8615;134900;2015
21;D2;1;0;0;0;0;0;BE;7719;115000;2014
22;F;0;0;0;0;0;0;NL;5638;169000;2017
23;F;1;0;0;0;0;0;PL;16200;98500;2015
24;D;1;0;0;0;0;0;TR;12000;85000;2012
25;D2;1;0;0;0;0;0;BE;6100;135000;2017
26;D2;1;0;0;0;0;0;BE;8200;130000;2016
27;F;1;0;0;0;0;0;GB;7294;142611;2015
28;E;0;0;0;0;0;0;FI;10045;100000;2011
29;D2;1;0;0;0;1;0;NL;13612;119900;2015
30;D;0;0;0;0;0;0;NL;14022;62750;2011
31;D;1;1;0;0;0;0;DE;11250;76000;2011
32;NG;0;0;0;0;0;0;BE;2673;267000;2019
33;E;1;0;0;0;0;0;PL;11200;48000;2012
34;D;0;0;0;0;0;0;FR;14807;78000;2010
35;E;1;0;0;0;0;0;NL;7916;149000;2014
36;F;1;0;0;0;0;0;DE;8900;122000;2015
37;E;0;0;0;0;0;0;FR;12484;99000;2012
39;D;1;0;0;0;0;0;PL;13400;110840;2012
40;D;0;1;0;0;0;0;RO;13000;73900;2013
41;E;1;0;0;0;0;0;DE;5532;141711;2012
42;D;1;0;0;0;0;0;NL;15624;87900;2011
43;E;1;0;0;0;0;0;NL;12859;89000;2012
44;D2;1;0;0;0;0;0;BE;5302;145000;2018
45;F;1;0;0;0;0;0;BE;6216;149000;2016
46;D;0;0;0;0;0;0;IT;12257;259000;2011
47;E;1;0;1;0;0;0;DK;12801;100789;2015
48;E;1;0;1;0;0;0;DK;13458;98101;2015
49;E;1;0;1;0;0;0;GB;10900;74480;2013
50;F;1;0;0;0;0;0;DE;12591;105900;2016
51;E;0;0;0;0;0;0;IT;11300;98000;2014
52;E;1;0;0;0;0;0;FR;9909;122664;2016
53;D2;1;0;0;0;0;0;BE;7608;124000;2015
54;E;1;0;0;0;0;0;NL;11947;89750;2013
55;E;0;0;0;0;0;0;NL;19185;64800;2012
56;NG;0;0;0;0;0;0;TR;3102;185000;2020
57;E;1;0;0;0;0;0;DE;9090;94000;2014
58;E;1;0;1;0;0;0;FI;20000;89000;2016
59;D;1;0;0;1;0;0;SE;16187;112100;2010
60;D;1;0;0;1;0;0;HU;18000;79623;2009
61;NG;0;0;0;0;0;0;GB;3605;246989;2019
62;E;0;0;0;0;0;0;NL;8573;84800;2012
63;F;0;0;0;0;0;0;NL;9598;159000;2015
64;F;1;0;0;0;0;0;GB;7500;139303;2017
65;E;1;0;0;0;0;0;FR;10995;99000;2010
66;D;0;0;0;0;0;0;UA;1870;140000;2018
67;D;0;0;0;0;0;0;ES;9540;127800;2012
68;D2;1;0;0;0;1;0;BE;7607;129000;2015
69;D;0;0;0;0;0;0;NL;18827;64800;2009
70;F;1;0;0;0;0;0;GB;2883;224719;2018
71;F;1;0;0;0;0;0;DE;2449;243484;2018
72;E;1;0;0;0;0;0;NL;4684;216068;2017
73;E;1;0;0;0;1;0;DE;10866;98900;2015
74;E;0;0;0;0;0;0;FI;19188;53000;2012
75;NG;0;0;0;0;0;0;PL;2246;238000;2019
76;E;1;1;0;0;0;0;DE;10890;83900;2012
77;NG;0;0;0;0;0;0;TR;4230;180000;2020
78;NG;0;0;0;0;0;0;PL;2545;220000;2019
79;E;1;1;0;0;0;0;DE;10800;91900;2012
80;F;1;0;0;0;0;0;FI;5950;192000;2015
81;E;1;0;0;0;0;0;BE;10562;86000;2012
82;D;1;1;0;0;0;0;DE;11800;77000;2011
83;E;1;1;0;0;0;0;DE;7353;124990;2014
84;E;1;0;0;0;0;0;PL;11574;94716;2013
85;F;1;0;0;0;0;0;FI;8590;160000;2016
86;F;1;0;0;0;0;0;FI;8720;160000;2015
87;F;1;1;0;0;0;0;RO;9116;139950;2016
88;NG;0;0;0;0;0;1;PL;2199;229000;2020
89;E;1;0;0;0;0;0;RO;1200;110000;2019
90;F;1;0;0;0;0;0;NL;8955;148500;2018
91;D2;1;0;0;0;0;0;NL;4200;125000;2017
92;D2;1;0;0;0;0;0;NL;4917;10000;2016
93;D;1;1;0;0;0;0;DE;18830;65500;2009
94;D2;1;0;0;0;1;0;ES;5200;147000;2015
95;D;0;0;0;0;0;0;TR;15764;73500;2010
96;D2;1;0;0;0;1;0;BE;7527;129000;2015
97;F;1;0;0;0;0;0;NO;7600;97000;2016
98;F;1;1;0;0;0;0;DE;3489;249900;2018
99;F;1;1;0;0;0;0;DE;6050;159500;2016
100;D;1;0;0;0;0;0;RU;7800;141622;2015
101;D;1;0;0;0;0;0;GB;9374;77169;2012
103;E;1;0;0;0;0;0;ES;10700;125000;2014
104;D;1;0;0;0;0;0;NL;9736;59500;2012
105;E;0;0;0;0;0;0;NL;8457;99500;2014
106;E;0;0;0;0;0;0;NL;10554;81500;2012
107;D;1;0;0;0;0;0;LU;17045;59800;2012
108;D;1;0;0;0;0;0;RU;10000;107467;2014
