,extension,location,working_hours,price,const_year
299,H,NL,4,91200,2016
294,M,AT,5,120000,2016
296,M,FR,5,150000,2018
298,M,FR,6,129000,2017
301,GC,DE,7,147500,2014
293,K,FR,9,80000,2012
295,M,UK,9,80536,2016
300,H,DE,11,59750,2010
297,M,UK,14,60237,2015
182,M,NL,300,178000,2020
69,G,DE,450,141000,2014
184,M,DE,608,172000,2019
54,M,CZ,803,161522,2015
171,GC,FR,1015,165000,2018
107,GC,DE,1017,149000,2019
85,GC,PL,1023,165500,2018
288,GC,DE,1100,139000,2018
40,GC,AT,1250,142000,2018
130,GC,FR,1469,180000,2020
118,GC,FR,1516,278000,2019
129,GC,FR,1529,167000,2019
29,M,PL,1621,172823,2018
99,GC,PL,1688,117000,2018
65,GC,PL,1699,128700,2018
44,H,PL,1728,56660,2008
119,M,DE,2060,91000,2018
237,M,BE,2072,167000,2018
98,GC,FR,2083,155000,2018
31,GC,GB,2130,148508,2019
268,M,DE,2146,124900,2018
49,M,FR,2182,206000,2019
164,M,FR,2306,200000,2019
102,GC,NL,2462,109500,2019
156,GC,DE,2464,111500,2019
92,GC,UA,2850,155000,2019
6,GC,BE,3000,129000,2017
79,GC,NL,3050,119500,2017
240,GC,NL,3060,115000,2017
199,M,FR,3068,150000,2017
62,GC,TR,3153,128000,2021
198,M,NL,3289,147500,2019
72,GC,PL,3300,131416,2019
37,GC,TR,3400,115000,2017
136,M,CH,3705,146436,2017
262,GC,TR,3803,113000,2020
193,M,LT,3849,137500,2016
257,G,LT,3985,120400,2018
163,M,NL,4356,145000,2018
138,M,FR,4674,162000,2017
97,GC,NL,4692,97750,2017
228,M,DE,4850,142000,2017
243,M,FR,5000,156000,2017
226,M,IT,5015,115000,2016
60,GC,TR,5205,116000,2020
175,H,UA,5250,85000,2011
266,M,FR,5321,150000,2018
258,G,EE,5400,115000,2018
212,M,LT,5440,117000,2015
222,M,ES,5474,129000,2017
270,K,LT,5600,50500,2014
41,M,UK,5700,113900,2016
236,M,FR,5841,150000,2017
216,M,UA,5870,99000,2016
291,M,DE,5876,97000,2016
113,G,ES,5950,109000,2017
19,M,GR,5972,127983,2016
104,M,ES,6000,130000,2018
223,M,ES,6024,124500,2017
56,GC,IT,6100,146065,2017
248,G,RU,6100,95886,2020
106,G,DE,6205,49900,2005
169,L,RO,6340,120000,2018
269,M,PL,6440,89000,2017
247,K,EE,6534,98800,2013
196,K,FR,6592,77900,2013
135,M,FR,6645,129000,2017
161,M,DE,6658,114000,2016
217,K,EE,6700,85000,2013
241,M,PL,6709,85000,2016
174,M,NL,6739,105000,2016
51,M,AT,6750,125000,2016
197,L,TR,6777,119000,2018
23,GC,GB,6795,87571,2019
89,M,ES,6859,139000,2017
11,GC,BE,6888,102000,2017
9,M,PL,6900,153000,2017
