,extension,XE,location,working_hours,price,const_year
0,K,0,NL,10000,69000,2013
1,H,0,RU,15263,140908,2014
2,H,0,RU,31168,122216,2008
3,H,0,DE,25521,59500,2009
4,H,0,NL,14500,79500,2007
5,M,1,NL,14234,89500,2015
6,K,0,NL,13043,82800,2013
7,M,0,NL,11041,102900,2016
8,K,0,FR,15916,73900,2013
9,M,1,NL,10484,99500,2016
10,H,0,DE,5119,130000,2011
11,M,1,BE,17000,75500,2016
12,K,0,NL,14029,76500,2013
13,K,0,ES,8230,139000,2014
14,M,0,NL,14051,89900,2016
15,M,0,ES,6931,139000,2014
16,M,0,NL,10017,102800,2015
17,M,0,ES,9050,143500,2014
18,M,1,AT,8500,133000,2016
19,M,0,NL,4988,199500,2019
20,M,0,ES,7400,139000,2015
21,K,1,PL,13611,90499,2014
22,M,1,DE,25000,95500,2017
23,K,1,NL,13313,79800,2014
24,M,0,ES,9925,150000,2016
25,H,0,UK,17500,89870,2010
26,K,0,NL,13759,73900,2012
27,M,1,AT,8514,163000,2017
28,H,0,TR,33625,72000,2014
29,K,1,NL,9702,84900,2013
30,M,0,FR,4909,230000,2019
31,M,0,RO,14799,98900,2016
32,K,0,SK,8300,98000,2014
33,K,1,DE,14623,76500,2013
34,K,0,NL,14848,85000,2012
35,K,0,FR,8230,109000,2014
36,M,1,AT,9590,159000,2017
37,M,1,NL,16034,99500,2014
38,K,0,DE,13300,73000,2013
39,K,0,CZ,12700,83000,2012
40,K,0,NL,18472,74500,2014
41,L,0,ES,12490,214534,2017
42,M,1,GB,6742,188339,2015
43,H,0,TR,18000,65000,2008
44,M,1,ES,8359,129000,2018
45,M,1,ES,3069,145000,2015
46,K,1,NL,11971,79900,2013
47,L,0,ES,11630,224719,2017
48,H,0,BE,5451,93000,2010
49,M,0,GB,9894,119411,2018
50,K,1,NL,13791,72800,2013
51,G,0,DE,15238,79000,2004
52,M,0,FR,13954,135268,2012
53,L,0,ES,12820,210961,2017
54,M,0,NL,7374,129500,2016
55,K,1,PT,12200,78500,2013
56,K,0,NL,14050,71500,2013
57,M,0,RO,8498,116900,2014
58,K,0,LV,18000,79000,2011
59,M,1,DE,10076,105000,2017
60,K,0,HU,14390,76600,2012
61,M,1,NL,13298,92500,2015
62,M,0,PL,3087,211000,2019
63,G,0,GB,21071,59044,2002
64,M,1,NL,8230,129000,2017
66,H,0,TR,28000,70000,2006
67,H,0,TR,40000,70000,2008
68,M,0,RO,9746,84500,2015
69,H,0,UA,1570,145000,2018
70,M,1,DE,8077,136900,2018
71,K,0,NL,9607,79500,2013
72,K,0,ES,12500,96500,2012
73,M,1,DE,6800,135000,2017
74,H,0,TR,20000,98000,2014
75,K,1,DE,14700,89000,2013
76,M,1,NL,8359,124500,2016
77,M,0,UK,9645,117154,2016
78,M,1,NL,13569,98000,2015
79,K,0,NL,23108,72500,2011
80,K,0,NL,9100,79500,2014
81,M,0,DE,14457,92000,2015
82,K,0,DK,16400,53000,2012
83,M,0,NL,13748,86500,2014
84,K,0,DE,10182,73700,2014
85,K,0,FR,6549,95000,2013
87,K,1,DE,6880,102350,2013
88,M,1,NL,8514,129800,2017
89,M,1,AT,9284,138500,2017
90,K,0,FR,11300,75000,2010
91,M,1,NL,14775,84900,2015
92,G,0,FR,12410,13522,2005
93,M,1,DE,8962,89000,2015
94,M,0,NL,8084,112500,2015
95,K,1,HR,11509,72500,2013
96,M,1,FR,7794,160000,2016
97,K,0,DE,15950,71500,2013
98,K,0,ES,9113,98500,2014
99,M,1,ES,8969,153500,2016
100,K,0,ES,8140,109000,2013
101,M,0,ES,6257,175500,2017
102,K,0,DE,6062,88500,2012
103,M,0,FR,2530,230000,2018
104,G,0,BE,5053,77500,2002
105,M,1,NL,10015,86500,2015
106,M,1,NL,8856,117500,2016
107,M,1,DE,12009,79000,2015
108,M,1,DE,10941,95000,2016
109,M,0,DE,8500,105000,2015
110,H,0,FR,18000,70250,2008
111,H,0,DE,11380,79900,2010
112,H,0,NL,16351,74500,2009
113,K,0,FR,5440,150000,2013
114,M,1,NL,18466,67500,2015
115,M,1,DE,12135,73900,2015
116,K,0,DE,11691,72500,2014
118,K,0,NL,14615,59800,2012
119,K,0,ES,8891,92000,2012
120,M,0,IT,6568,153000,2017
121,M,1,DE,13153,87500,2016
122,K,0,DE,9812,84500,2014
123,M,1,DE,10292,75000,2016
124,M,0,CH,5426,164193,2016
125,K,0,AT,14248,65000,2012
127,M,0,NL,19000,54500,2014
128,K,0,NL,12546,69900,2014
129,M,0,BE,9510,103000,2017
130,M,0,PL,7461,761000,2017
131,K,0,FR,10137,82000,2012
132,K,0,FR,11289,59000,2010
133,G,0,TR,24600,64900,2003
134,K,1,DE,12781,66500,2014
135,M,1,DE,6395,160000,2018
