,extension,LGP,XL,3B,4F,location,working_hours,price,const_year
0,R,0,1,0,0,CZ,18800,64032,2002
1,M,1,0,0,0,PL,17300,42585,2003
2,T,0,0,0,0,NL,14818,63500,2011
3,N,1,0,0,0,PL,15500,59510,2010
4,R,0,1,0,0,FR,18465,55000,2003
6,T,1,0,0,0,NL,11851,112000,2016
7,N,1,0,0,0,PL,8659,109800,2015
8,T,0,0,0,0,NL,4522,262000,2019
9,N,1,0,0,0,DE,9140,89500,2012
10,N,1,0,0,0,HU,12000,112139,2013
11,R,0,1,0,0,IT,22000,60000,2003
12,K,0,1,0,0,HU,5970,140000,2012
13,T,0,0,0,0,FI,18000,86000,2009
14,N,1,0,0,0,NL,11074,109000,2016
15,T,1,0,0,0,DE,14500,105900,2014
16,N,0,1,0,0,IT,8000,75000,2004
17,,1,0,0,0,ES,6540,103000,2017
18,T,1,0,0,0,DE,6502,137500,2015
19,T,0,1,0,0,SK,2953,240666,2019
20,R,1,0,0,0,DE,12500,51000,2003
21,T,0,1,0,1,SE,7300,162514,2015
22,K,0,0,0,0,DE,6814,99000,2012
23,N,1,0,0,0,DE,14840,84032,2011
24,T,1,0,0,0,CZ,6500,124999,2015
25,M,0,0,0,0,DE,20000,44900,2004
26,T,1,0,0,0,DE,8805,127500,2015
27,T,1,0,0,0,BE,9334,82000,2010
28,T,1,0,0,0,NL,8923,89500,2010
29,T,0,1,0,0,GR,13000,115000,2011
30,N,1,0,0,0,GB,7393,125122,2015
31,T,1,0,0,0,NO,10293,158131,2016
32,N,0,0,0,0,DE,6397,63492,2012
33,K,1,0,0,0,NL,5470,125500,2017
34,N,1,0,0,0,FR,10740,46965,2012
35,N,1,0,0,0,FR,10650,48974,2013
36,N,1,0,0,0,FR,11533,46965,2013
37,N,1,0,0,0,FR,10411,46965,2012
38,N,1,0,0,0,NL,8142,89500,2012
39,R,0,0,0,0,DE,11059,81900,2007
40,N,0,1,0,0,DE,28000,33159,2011
41,T,1,0,0,0,NL,8515,120000,2012
42,T,1,0,0,0,BE,18315,64000,2008
43,T,0,0,0,0,SE,8650,141400,2013
44,T,1,0,0,0,BE,10920,119500,2015
45,N,0,1,0,0,SK,12069,70000,2007
46,N,1,0,0,0,DE,12112,54621,2004
47,N,1,0,0,0,DE,13043,85000,2011
48,T,0,1,0,0,RO,16200,100000,2010
49,T,1,0,0,0,ES,6600,998000,2017
50,T,1,0,0,0,NL,9861,139500,2016
51,T,1,0,0,0,NL,8651,149500,2016
52,T,1,0,0,0,GB,9837,93362,2011
53,R,0,0,0,0,NO,13317,94087,2007
54,K,1,0,0,0,EE,5370,130000,2017
55,N,0,1,0,0,PL,20948,61186,2010
56,N,1,0,0,0,BE,11897,94000,2013
57,N,0,1,0,0,BE,7090,105000,2012
58,T,0,0,0,0,GB,10200,149618,2015
59,M,1,0,0,0,PL,19000,48860,2006
60,T,1,0,0,0,NL,15000,67900,2009
61,K,1,0,0,0,DE,3415,177600,2018
62,M,0,1,0,0,DE,14807,52900,2002
63,T,0,0,0,0,IT,9552,135000,2013
64,T,1,0,0,0,RO,12000,99000,2012
65,N,1,0,0,0,PL,10700,75880,2009
66,N,0,1,0,0,FR,15650,54900,2003
67,N,1,0,0,0,PL,14184,58001,2008
68,R,0,0,0,0,ES,18000,70000,2003
69,T,1,0,0,0,NO,14273,97310,2010
70,N,0,1,0,0,ES,9757,145000,2013
71,N,0,0,0,0,BY,12000,65000,2006
73,T,1,0,0,0,NL,13054,97500,2014
74,N,1,0,0,0,PL,13754,63639,2007
75,T,1,0,0,0,NL,10351,114800,2014
