,working_hours,location,model,extension,const_year,price
0,8973,FI,308,D,2011,44900
1,4183,PL,308,E2,2016,49040
2,4655,PL,308,E2,2017,57943
3,3175,GB,308,E2,2015,45335
4,2500,GB,308,E2,2018,51222
5,6000,IT,308,D,2010,38000
6,3018,FR,308,E2,2017,59500
7,8055,FI,308,D,2011,42900
8,3071,DE,308,E2,2017,41176
9,415,NL,308,,2021,88500
10,5541,DE,308,C,2008,39900
11,7099,DE,308,E,2012,46500
12,3400,DE,308,E2,2014,50000
13,4209,DE,308,E,2014,47000
14,2000,GB,308,E2,2019,64554
15,3295,GB,308,,2019,66375
16,4500,GB,308,E,2014,38132
17,6390,FR,308,D,2010,30000
18,2956,FR,308,E2,2017,60000
19,4223,SE,308,E2,2016,65460
20,4257,FI,308,E2,2017,69900
21,6800,SE,308,E2,2014,54654
22,2568,DE,308,E2,2016,61890
23,3900,GB,308,E2,2017,45300
24,3275,GB,308,E2,2015,44704
25,998,DE,308,,2020,84750
26,2023,CH,308,E2,2018,70743
27,2860,GB,308,,2019,68126
28,1680,SE,308,E2,2017,77353
29,2600,ES,308,E,2018,80000
30,4500,SE,308,E2,2015,63164
31,1800,FR,308,E,2020,80000
32,3245,AT,308,D,2012,55500
33,5900,DE,308,E,2012,39500
34,2155,DE,308,E,2018,77900
35,1972,GB,308,E2,2019,82694
36,2885,BE,308,E,2013,41000
37,750,NL,308,E,2020,91000
38,736,GB,308,E2,2018,64783
39,2653,IT,308,E2,2018,63000
40,7998,FI,308,C,2005,38500
41,4080,IE,308,E2,2016,72526
42,3400,DE,308,D,2011,50500
43,1933,GB,308,E,2017,90822
44,7748,NL,308,E,2012,39900
45,5200,RO,308,E2,2014,51000
46,9333,NL,308,E2,2013,42950
47,3704,FI,308,E2,2013,56000
48,5300,GB,308,E2,2014,36946
49,5162,GB,308,E2,2013,35242
50,7729,FI,308,D,2011,44500
51,4750,FI,308,D,2010,49900
52,5100,PL,308,D,2010,36000
53,1490,GE,308,E2,2017,84843
54,6550,FR,308,E,2012,41900
55,5200,NL,308,D,2011,34500
56,6300,PL,308,D,2012,36060
57,5369,DE,308,D,2011,43500
58,5600,IT,308,D,2010,44000
59,570,FR,308,E2,2016,64000
60,9075,SE,308,D,2012,57143
61,5135,PL,308,E2,2015,50598
62,2662,FI,308,E2,2018,69000
63,7480,SE,308,E,2012,52523
64,4100,SE,308,E,2017,62679
65,726,PL,308,,2019,72554
66,6560,FR,308,C,2006,25900
67,447,DE,308,E2,2019,84200
68,4377,NO,308,E2,2014,61495
69,7501,NL,308,D,2011,33800
70,4484,ES,308,E,2013,48000
71,1486,GE,308,E2,2017,85206
72,6500,FR,308,E,2012,38900
73,4700,NL,308,E2,2015,41900
74,2222,IT,308,E2,2017,59900
75,5600,PL,308,D,2011,32500
76,4579,SK,308,E2,2017,56000
77,9804,EE,308,D,2011,45000
78,1735,DE,308,E,2017,67000
79,5000,BE,308,E2,2015,40000
80,1095,DE,308,D,2019,69900
81,2940,DE,308,E,2015,49900
82,4700,LT,308,D,2011,31500
83,6192,DE,308,D,2012,33900
84,6200,FR,308,E2,2012,32800
85,1600,NL,308,E2,2019,58500
86,750,PL,308,E,2020,70200
87,2594,FR,308,E2,2017,76000
88,7454,FI,308,E,2012,42500
89,3200,SE,308,E,2013,53095
90,2700,AT,308,C,2007,42500
91,4885,BE,308,C,2008,26000
92,3755,FR,308,E2,2016,50000
93,3190,DE,308,,2016,47900
94,4700,NL,308,E2,2014,41900
95,5138,IT,308,D,2009,32000
96,4750,DE,308,E2,2015,44000
97,3700,ES,308,D,2012,35750
98,7989,ES,308,D,2010,27250
99,3015,FI,308,E2,2016,55800
