extension,CR,location,working_hours,price,const_year,model,L,RR,LR,GC,VA,SA,N,H,ME,XE,LGP,XL,3B,4F,MH
D,0.0,FI,8973,44900,2011,308,,,,,,,,,,,,,,,
E2,1.0,PL,4183,49040,2016,308,,,,,,,,,,,,,,,
E2,1.0,PL,4655,57943,2017,308,,,,,,,,,,,,,,,
E2,1.0,GB,3175,45335,2015,308,,,,,,,,,,,,,,,
E2,1.0,GB,2500,51222,2018,308,,,,,,,,,,,,,,,
D,1.0,IT,6000,38000,2010,308,,,,,,,,,,,,,,,
E2,1.0,FR,3018,59500,2017,308,,,,,,,,,,,,,,,
D,1.0,FI,8055,42900,2011,308,,,,,,,,,,,,,,,
E2,0.0,DE,3071,41176,2017,308,,,,,,,,,,,,,,,
,1.0,NL,415,88500,2021,308,,,,,,,,,,,,,,,
E,1.0,PL,6270,156000,2012,308,,,,,,,,,,,,,,,
C,1.0,DE,5541,39900,2008,308,,,,,,,,,,,,,,,
E,1.0,DE,7099,46500,2012,308,,,,,,,,,,,,,,,
E2,1.0,DE,3400,50000,2014,308,,,,,,,,,,,,,,,
E,1.0,DE,4209,47000,2014,308,,,,,,,,,,,,,,,
E2,1.0,GB,2000,64554,2019,308,,,,,,,,,,,,,,,
,1.0,GB,3295,66375,2019,308,,,,,,,,,,,,,,,
E,0.0,GB,4500,38132,2014,308,,,,,,,,,,,,,,,
D,1.0,FR,6390,30000,2010,308,,,,,,,,,,,,,,,
E2,1.0,FR,2956,60000,2017,308,,,,,,,,,,,,,,,
E2,1.0,SE,4223,65460,2016,308,,,,,,,,,,,,,,,
E2,1.0,FI,4257,69900,2017,308,,,,,,,,,,,,,,,
E2,1.0,SE,6800,54654,2014,308,,,,,,,,,,,,,,,
E2,1.0,DE,2568,61890,2016,308,,,,,,,,,,,,,,,
E2,1.0,GB,3900,45300,2017,308,,,,,,,,,,,,,,,
E2,1.0,GB,3275,44704,2015,308,,,,,,,,,,,,,,,
,1.0,DE,998,84750,2020,308,,,,,,,,,,,,,,,
E2,1.0,CH,2023,70743,2018,308,,,,,,,,,,,,,,,
E,1.0,AT,12300,36000,2012,308,,,,,,,,,,,,,,,
,1.0,GB,2860,68126,2019,308,,,,,,,,,,,,,,,
E2,1.0,SE,1680,77353,2017,308,,,,,,,,,,,,,,,
E,0.0,ES,2600,80000,2018,308,,,,,,,,,,,,,,,
E2,1.0,SE,4500,63164,2015,308,,,,,,,,,,,,,,,
E,1.0,FR,1800,80000,2020,308,,,,,,,,,,,,,,,
D,0.0,AT,3245,55500,2012,308,,,,,,,,,,,,,,,
E,1.0,DE,5900,39500,2012,308,,,,,,,,,,,,,,,
E,1.0,DE,2155,77900,2018,308,,,,,,,,,,,,,,,
E2,1.0,GB,1972,82694,2019,308,,,,,,,,,,,,,,,
E,1.0,BE,2885,41000,2013,308,,,,,,,,,,,,,,,
,1.0,FI,1615,110000,2019,308,,,,,,,,,,,,,,,
E,1.0,NL,750,91000,2020,308,,,,,,,,,,,,,,,
E2,0.0,GB,736,64783,2018,308,,,,,,,,,,,,,,,
E2,1.0,IT,2653,63000,2018,308,,,,,,,,,,,,,,,
C,0.0,FI,7998,38500,2005,308,,,,,,,,,,,,,,,
E2,1.0,IE,4080,72526,2016,308,,,,,,,,,,,,,,,
E2,1.0,AT,12375,47500,2014,308,,,,,,,,,,,,,,,
D,0.0,DE,3400,50500,2011,308,,,,,,,,,,,,,,,
E,0.0,GB,1933,90822,2017,308,,,,,,,,,,,,,,,
E,1.0,NL,7748,39900,2012,308,,,,,,,,,,,,,,,
E2,1.0,RO,5200,51000,2014,308,,,,,,,,,,,,,,,
E2,1.0,NL,9333,42950,2013,308,,,,,,,,,,,,,,,
E2,1.0,FI,3704,56000,2013,308,,,,,,,,,,,,,,,
E2,1.0,GB,5300,36946,2014,308,,,,,,,,,,,,,,,
E2,1.0,NL,314,97500,2019,308,,,,,,,,,,,,,,,
E2,1.0,GB,5162,35242,2013,308,,,,,,,,,,,,,,,
D,1.0,FI,7729,44500,2011,308,,,,,,,,,,,,,,,
D,1.0,FI,4750,49900,2010,308,,,,,,,,,,,,,,,
D,1.0,PL,5100,36000,2010,308,,,,,,,,,,,,,,,
E2,1.0,GE,1490,84843,2017,308,,,,,,,,,,,,,,,
E,0.0,FR,6550,41900,2012,308,,,,,,,,,,,,,,,
D,0.0,NL,5200,34500,2011,308,,,,,,,,,,,,,,,
C,0.0,BE,5041,28950,2004,308,,,,,,,,,,,,,,,
D,0.0,PL,6300,36060,2012,308,,,,,,,,,,,,,,,
D,1.0,DE,5369,43500,2011,308,,,,,,,,,,,,,,,
D,0.0,IT,5600,44000,2010,308,,,,,,,,,,,,,,,
E2,1.0,FR,570,64000,2016,308,,,,,,,,,,,,,,,
D,1.0,SE,9075,57143,2012,308,,,,,,,,,,,,,,,
E2,1.0,PL,5135,50598,2015,308,,,,,,,,,,,,,,,
E2,0.0,FI,2662,69000,2018,308,,,,,,,,,,,,,,,
E,1.0,SE,7480,52523,2012,308,,,,,,,,,,,,,,,
E,0.0,SE,4100,62679,2017,308,,,,,,,,,,,,,,,
,1.0,PL,726,72554,2019,308,,,,,,,,,,,,,,,
C,0.0,FR,6560,25900,2006,308,,,,,,,,,,,,,,,
E2,1.0,DE,447,84200,2019,308,,,,,,,,,,,,,,,
E2,1.0,NO,4377,61495,2014,308,,,,,,,,,,,,,,,
D,0.0,NL,7501,33800,2011,308,,,,,,,,,,,,,,,
E,0.0,ES,4484,48000,2013,308,,,,,,,,,,,,,,,
E2,1.0,GE,1486,85206,2017,308,,,,,,,,,,,,,,,
E,0.0,FR,6500,38900,2012,308,,,,,,,,,,,,,,,
D,1.0,DE,13708,24900,2011,308,,,,,,,,,,,,,,,
E2,1.0,NL,4700,41900,2015,308,,,,,,,,,,,,,,,
E2,1.0,IT,2222,59900,2017,308,,,,,,,,,,,,,,,
D,1.0,PL,5600,32500,2011,308,,,,,,,,,,,,,,,
E2,1.0,SK,4579,56000,2017,308,,,,,,,,,,,,,,,
D,0.0,EE,9804,45000,2011,308,,,,,,,,,,,,,,,
E,1.0,DE,1735,67000,2017,308,,,,,,,,,,,,,,,
E2,1.0,BE,5000,40000,2015,308,,,,,,,,,,,,,,,
D,0.0,DE,1095,69900,2019,308,,,,,,,,,,,,,,,
E,1.0,DE,2940,49900,2015,308,,,,,,,,,,,,,,,
D,1.0,LT,4700,31500,2011,308,,,,,,,,,,,,,,,
D,1.0,DE,6192,33900,2012,308,,,,,,,,,,,,,,,
E2,1.0,FR,6200,32800,2012,308,,,,,,,,,,,,,,,
E2,1.0,BE,315,99000,2019,308,,,,,,,,,,,,,,,
E2,1.0,NL,1600,58500,2019,308,,,,,,,,,,,,,,,
E,1.0,PL,750,70200,2020,308,,,,,,,,,,,,,,,
E2,1.0,FR,2594,76000,2017,308,,,,,,,,,,,,,,,
E,1.0,FI,7454,42500,2012,308,,,,,,,,,,,,,,,
E,1.0,SE,3200,53095,2013,308,,,,,,,,,,,,,,,
C,0.0,AT,2700,42500,2007,308,,,,,,,,,,,,,,,
C,1.0,BE,4885,26000,2008,308,,,,,,,,,,,,,,,
E2,1.0,FR,3755,50000,2016,308,,,,,,,,,,,,,,,
,1.0,DE,3190,47900,2016,308,,,,,,,,,,,,,,,
E2,1.0,NL,4700,41900,2014,308,,,,,,,,,,,,,,,
D,0.0,IT,5138,32000,2009,308,,,,,,,,,,,,,,,
E2,1.0,DE,4750,44000,2015,308,,,,,,,,,,,,,,,
D,1.0,ES,3700,35750,2012,308,,,,,,,,,,,,,,,
D,1.0,ES,7989,27250,2010,308,,,,,,,,,,,,,,,
E2,0.0,FI,3015,55800,2016,308,,,,,,,,,,,,,,,
E,1.0,SE,8060,46361,2013,308,,,,,,,,,,,,,,,
E2,1.0,PL,4090,53936,2017,308,,,,,,,,,,,,,,,
E2,1.0,FR,4277,50000,2017,308,,,,,,,,,,,,,,,
E2,1.0,PL,478,50930,2017,308,,,,,,,,,,,,,,,
E2,1.0,FR,2522,70000,2017,308,,,,,,,,,,,,,,,
D,1.0,NL,5143,33500,2009,308,,,,,,,,,,,,,,,
E2,1.0,NL,2456,56900,2016,308,,,,,,,,,,,,,,,
E2,1.0,BE,4068,53500,2015,308,,,,,,,,,,,,,,,
E2,1.0,IT,2936,44000,2013,308,,,,,,,,,,,,,,,
C,1.0,DE,2149,64700,2019,308,,,,,,,,,,,,,,,
E,1.0,DE,2997,53900,2016,308,,,,,,,,,,,,,,,
NG,1.0,FI,2838,75000,2019,308,,,,,,,,,,,,,,,
D,0.0,BE,6673,24950,2010,308,,,,,,,,,,,,,,,
,1.0,PL,457,54481,2019,308,,,,,,,,,,,,,,,
E2,1.0,FI,4907,58000,2015,308,,,,,,,,,,,,,,,
E2,1.0,NO,2900,55954,2014,308,,,,,,,,,,,,,,,
E2,1.0,DE,3441,35500,2014,308,,,,,,,,,,,,,,,
E2,1.0,NL,1115,67800,2018,308,,,,,,,,,,,,,,,
E2,1.0,CZ,1170,63694,2018,308,,,,,,,,,,,,,,,
E2,1.0,PL,3213,56000,2017,308,,,,,,,,,,,,,,,
E2,1.0,FR,4611,53000,2017,308,,,,,,,,,,,,,,,
E2,1.0,FR,4090,52000,2015,308,,,,,,,,,,,,,,,
D,0.0,CZ,7966,29722,2008,308,,,,,,,,,,,,,,,
E2,0.0,NL,1706,59000,2017,308,,,,,,,,,,,,,,,
E2,1.0,BE,3050,45000,2015,308,,,,,,,,,,,,,,,
D,0.0,DE,10300,29900,2010,308,,,,,,,,,,,,,,,
E2,1.0,DE,2000,57000,2017,308,,,,,,,,,,,,,,,
E2,1.0,DE,2365,49950,2016,308,,,,,,,,,,,,,,,
E2,1.0,NO,5025,57503,2014,308,,,,,,,,,,,,,,,
E2,1.0,EE,1689,54750,2016,308,,,,,,,,,,,,,,,
E,1.0,BE,1746,62500,2015,308,,,,,,,,,,,,,,,
D,0.0,BE,12829,27000,2011,308,,,,,,,,,,,,,,,
E,1.0,NL,4637,43500,2012,308,,,,,,,,,,,,,,,
C,0.0,DE,569,94890,2019,308,,,,,,,,,,,,,,,
E2,1.0,LT,3417,43000,2016,308,,,,,,,,,,,,,,,
E2,1.0,IT,2017,59000,2017,308,,,,,,,,,,,,,,,
E2,1.0,IT,626,72000,2018,308,,,,,,,,,,,,,,,
E,1.0,SE,5700,39994,2012,308,,,,,,,,,,,,,,,
E,1.0,NL,4071,41900,2012,308,,,,,,,,,,,,,,,
E2,1.0,UA,2580,83000,2016,308,,,,,,,,,,,,,,,
E2,1.0,BE,3033,48750,2017,308,,,,,,,,,,,,,,,
E,1.0,PL,5145,47448,2015,308,,,,,,,,,,,,,,,
E2,1.0,DE,2800,51900,2015,308,,,,,,,,,,,,,,,
E2,1.0,PL,1411,56282,2018,308,,,,,,,,,,,,,,,
,1.0,PL,462,60628,2019,308,,,,,,,,,,,,,,,
D,1.0,IT,5700,32000,2009,308,,,,,,,,,,,,,,,
C,1.0,SE,5250,38591,2006,308,,,,,,,,,,,,,,,
E2,1.0,PL,3653,54109,2017,308,,,,,,,,,,,,,,,
E2,1.0,IT,4090,51000,2015,308,,,,,,,,,,,,,,,
E2,1.0,AT,7617,41500,2014,308,,,,,,,,,,,,,,,
,1.0,DE,920,69950,2019,308,,,,,,,,,,,,,,,
E2,0.0,CH,2565,55229,2016,308,,,,,,,,,,,,,,,
E,1.0,FR,1850,59500,2017,308,,,,,,,,,,,,,,,
D,1.0,DE,10000,24900,2011,308,,,,,,,,,,,,,,,
E2,1.0,FR,2039,40900,2017,308,,,,,,,,,,,,,,,
E2,0.0,SE,1311,82263,2018,308,,,,,,,,,,,,,,,
E2,1.0,IT,2780,61000,2017,308,,,,,,,,,,,,,,,
E,1.0,GB,3000,51320,2016,308,,,,,,,,,,,,,,,
E2,1.0,SK,2399,60000,2016,308,,,,,,,,,,,,,,,
D,1.0,DE,8300,28900,2010,308,,,,,,,,,,,,,,,
E2,0.0,CH,2660,56750,2016,308,,,,,,,,,,,,,,,
E2,1.0,AT,4250,53900,2016,308,,,,,,,,,,,,,,,
E2,1.0,LT,1479,67750,2018,308,,,,,,,,,,,,,,,
E2,1.0,RO,4400,44900,2014,308,,,,,,,,,,,,,,,
E2,0.0,FI,687,74000,2019,308,,,,,,,,,,,,,,,
E2,1.0,IT,2716,62000,2017,308,,,,,,,,,,,,,,,
E2,1.0,SI,1800,78500,2019,308,,,,,,,,,,,,,,,
E2,1.0,PL,3960,46316,2016,308,,,,,,,,,,,,,,,
E2,1.0,FI,2400,79900,2018,308,,,,,,,,,,,,,,,
E2,1.0,BE,2433,46500,2014,308,,,,,,,,,,,,,,,
D,1.0,BE,4865,38500,2010,308,,,,,,,,,,,,,,,
