index,working_hours,location,extension,model,const_year,price
0,8973,FI,D,308,2011,44900
1,4183,PL,E2,308,2016,49040
2,4655,PL,E2,308,2017,57943
3,3175,GB,E2,308,2015,45335
4,2500,GB,E2,308,2018,51222
5,6000,IT,D,308,2010,38000
6,3018,FR,E2,308,2017,59500
7,8055,FI,D,308,2011,42900
8,3071,DE,E2,308,2017,41176
10,6270,PL,E,308,2012,156000
11,5541,DE,C,308,2008,39900
12,7099,DE,E,308,2012,46500
13,3400,DE,E2,308,2014,50000
14,4209,DE,E,308,2014,47000
15,2000,GB,E2,308,2019,64554
17,4500,GB,E,308,2014,38132
18,6390,FR,D,308,2010,30000
19,2956,FR,E2,308,2017,60000
20,4223,SE,E2,308,2016,65460
21,4257,FI,E2,308,2017,69900
22,6800,SE,E2,308,2014,54654
23,2568,DE,E2,308,2016,61890
24,3900,GB,E2,308,2017,45300
25,3275,GB,E2,308,2015,44704
27,2023,CH,E2,308,2018,70743
28,12300,AT,E,308,2012,36000
30,1680,SE,E2,308,2017,77353
31,2600,ES,E,308,2018,80000
32,4500,SE,E2,308,2015,63164
33,1800,FR,E,308,2020,80000
34,3245,AT,D,308,2012,55500
35,5900,DE,E,308,2012,39500
36,2155,DE,E,308,2018,77900
37,1972,GB,E2,308,2019,82694
38,2885,BE,E,308,2013,41000
40,750,NL,E,308,2020,91000
41,736,GB,E2,308,2018,64783
42,2653,IT,E2,308,2018,63000
43,7998,FI,C,308,2005,38500
44,4080,IE,E2,308,2016,72526
45,12375,AT,E2,308,2014,47500
46,3400,DE,D,308,2011,50500
47,1933,GB,E,308,2017,90822
48,7748,NL,E,308,2012,39900
49,5200,RO,E2,308,2014,51000
50,9333,NL,E2,308,2013,42950
51,3704,FI,E2,308,2013,56000
52,5300,GB,E2,308,2014,36946
54,5162,GB,E2,308,2013,35242
55,7729,FI,D,308,2011,44500
56,4750,FI,D,308,2010,49900
57,5100,PL,D,308,2010,36000
58,1490,GE,E2,308,2017,84843
59,6550,FR,E,308,2012,41900
60,5200,NL,D,308,2011,34500
61,5041,BE,C,308,2004,28950
62,6300,PL,D,308,2012,36060
63,5369,DE,D,308,2011,43500
64,5600,IT,D,308,2010,44000
65,570,FR,E2,308,2016,64000
66,9075,SE,D,308,2012,57143
67,5135,PL,E2,308,2015,50598
68,2662,FI,E2,308,2018,69000
69,7480,SE,E,308,2012,52523
70,4100,SE,E,308,2017,62679
72,6560,FR,C,308,2006,25900
74,4377,NO,E2,308,2014,61495
75,7501,NL,D,308,2011,33800
76,4484,ES,E,308,2013,48000
77,1486,GE,E2,308,2017,85206
78,6500,FR,E,308,2012,38900
79,13708,DE,D,308,2011,24900
80,4700,NL,E2,308,2015,41900
81,2222,IT,E2,308,2017,59900
82,5600,PL,D,308,2011,32500
83,4579,SK,E2,308,2017,56000
84,9804,EE,D,308,2011,45000
85,1735,DE,E,308,2017,67000
86,5000,BE,E2,308,2015,40000
87,1095,DE,D,308,2019,69900
88,2940,DE,E,308,2015,49900
89,4700,LT,D,308,2011,31500
90,6192,DE,D,308,2012,33900
91,6200,FR,E2,308,2012,32800
93,1600,NL,E2,308,2019,58500
94,750,PL,E,308,2020,70200
95,2594,FR,E2,308,2017,76000
96,7454,FI,E,308,2012,42500
97,3200,SE,E,308,2013,53095
98,2700,AT,C,308,2007,42500
99,4885,BE,C,308,2008,26000
100,3755,FR,E2,308,2016,50000
102,4700,NL,E2,308,2014,41900
103,5138,IT,D,308,2009,32000
104,4750,DE,E2,308,2015,44000
105,3700,ES,D,308,2012,35750
106,7989,ES,D,308,2010,27250
107,3015,FI,E2,308,2016,55800
108,8060,SE,E,308,2013,46361
109,4090,PL,E2,308,2017,53936
110,4277,FR,E2,308,2017,50000
111,478,PL,E2,308,2017,50930
112,2522,FR,E2,308,2017,70000
113,5143,NL,D,308,2009,33500
114,2456,NL,E2,308,2016,56900
115,4068,BE,E2,308,2015,53500
116,2936,IT,E2,308,2013,44000
117,2149,DE,C,308,2019,64700
118,2997,DE,E,308,2016,53900
119,2838,FI,NG,308,2019,75000
120,6673,BE,D,308,2010,24950
122,4907,FI,E2,308,2015,58000
123,2900,NO,E2,308,2014,55954
124,3441,DE,E2,308,2014,35500
125,1115,NL,E2,308,2018,67800
126,1170,CZ,E2,308,2018,63694
127,3213,PL,E2,308,2017,56000
128,4611,FR,E2,308,2017,53000
129,4090,FR,E2,308,2015,52000
130,7966,CZ,D,308,2008,29722
131,1706,NL,E2,308,2017,59000
132,3050,BE,E2,308,2015,45000
133,10300,DE,D,308,2010,29900
134,2000,DE,E2,308,2017,57000
135,2365,DE,E2,308,2016,49950
136,5025,NO,E2,308,2014,57503
137,1689,EE,E2,308,2016,54750
138,1746,BE,E,308,2015,62500
139,12829,BE,D,308,2011,27000
140,4637,NL,E,308,2012,43500
141,569,DE,C,308,2019,94890
142,3417,LT,E2,308,2016,43000
143,2017,IT,E2,308,2017,59000
144,626,IT,E2,308,2018,72000
145,5700,SE,E,308,2012,39994
146,4071,NL,E,308,2012,41900
147,2580,UA,E2,308,2016,83000
148,3033,BE,E2,308,2017,48750
149,5145,PL,E,308,2015,47448
150,2800,DE,E2,308,2015,51900
151,1411,PL,E2,308,2018,56282
153,5700,IT,D,308,2009,32000
154,5250,SE,C,308,2006,38591
155,3653,PL,E2,308,2017,54109
156,4090,IT,E2,308,2015,51000
157,7617,AT,E2,308,2014,41500
159,2565,CH,E2,308,2016,55229
160,1850,FR,E,308,2017,59500
161,10000,DE,D,308,2011,24900
162,2039,FR,E2,308,2017,40900
163,1311,SE,E2,308,2018,82263
164,2780,IT,E2,308,2017,61000
165,3000,GB,E,308,2016,51320
166,2399,SK,E2,308,2016,60000
167,8300,DE,D,308,2010,28900
168,2660,CH,E2,308,2016,56750
169,4250,AT,E2,308,2016,53900
170,1479,LT,E2,308,2018,67750
171,4400,RO,E2,308,2014,44900
172,687,FI,E2,308,2019,74000
173,2716,IT,E2,308,2017,62000
174,1800,SI,E2,308,2019,78500
175,3960,PL,E2,308,2016,46316
176,2400,FI,E2,308,2018,79900
177,2433,BE,E2,308,2014,46500
178,4865,BE,D,308,2010,38500
179,2176,FR,E2,308,2018,69000
180,2537,FR,E2,308,2018,66000
181,2802,IT,E2,308,2016,57000
182,3079,PL,E2,308,2014,43550
183,6127,IT,E2,308,2014,37000
184,4114,PL,E2,308,2015,44603
185,8600,SE,D,308,2012,46826
186,2851,PL,E2,308,2016,50219
187,10625,NL,E,308,2013,34500
188,4900,UA,C,308,2007,28500
189,785,DE,E2,308,2017,74500
190,1625,GE,D,308,2009,54663
191,9035,NO,D,308,2010,48067
192,3540,FR,E2,308,2016,61000
193,7000,PL,D,308,2010,33180
194,4724,LV,E2,308,2016,49000
195,4000,DE,E,308,2012,42000
197,7698,FI,D,308,2011,43000
198,8110,FI,D,308,2011,52900
199,3250,FR,E2,308,2015,51900
200,1646,IT,E2,308,2017,59000
201,4134,FI,E2,308,2014,59900
202,7700,SE,E,308,2013,46664
203,5338,FI,E2,308,2017,58500
204,1450,BE,E2,308,2017,52450
205,1403,PL,E2,308,2018,56000
206,5664,LT,E,308,2013,39900
207,3500,DE,E2,308,2017,49900
208,1600,PL,E2,308,2017,53150
209,1427,LT,E2,308,2019,69000
210,7681,UA,E,308,2013,50900
211,4430,FR,E,308,2012,41500
212,4484,FR,D,308,2012,38000
213,2580,NL,E2,308,2016,52500
215,1737,PL,E2,308,2018,63119
216,2210,BE,E2,308,2018,67000
217,2281,FR,E2,308,2016,65000
218,2525,DE,E,308,2016,59000
219,4393,ES,E,308,2012,42500
220,1287,FR,E2,308,2017,68000
221,5336,ES,D,308,2011,44500
222,1829,FR,E2,308,2018,72000
223,1,FI,E2,308,2015,49700
224,7,DE,E2,308,2020,74500
225,7,DE,E2,308,2018,74500
226,29,PL,E2,308,2018,54210
229,8906,NO,E,320,2012,78954
230,6070,NL,D2,320,2018,99000
232,9644,NL,D,320,2007,42500
233,7486,NL,D,320,2010,63900
234,6971,DE,E,320,2013,71500
235,12609,NL,D,320,2010,58900
236,6000,NO,D,320,2011,70874
237,5703,NL,F,320,2017,100000
238,10625,SE,E,320,2012,86064
239,10535,TR,D,320,2013,74250
240,2700,NL,NG,320,2020,97500
241,2542,NL,NG,320,2019,97500
243,12000,PL,D,320,2008,21500
244,8600,LV,E,320,2015,83500
245,7740,NL,D,320,2010,61900
246,6000,IT,C,320,2005,48000
247,4980,PL,E,320,2014,88000
248,9508,DE,E,320,2013,68500
249,7134,DE,E,320,2012,68900
250,1302,AT,NG,320,2019,125900
251,10000,DE,E,320,2012,64900
252,8111,BG,D,320,2010,58900
253,9150,DE,E,320,2012,69500
254,7735,NO,E,320,2015,98770
255,13073,NL,C,320,2006,41000
256,3100,BY,NG,320,2020,115000
257,8750,NO,E,320,2014,86780
258,9700,GB,D,320,2007,49453
261,18855,PL,C,320,2003,37284
262,13600,ES,D,320,2010,56000
