,working_hours,location,model,const_year,extension,price
0,8973,FI,308,2011,D,44900
1,4183,PL,308,2016,E2,49040
2,4655,PL,308,2017,E2,57943
3,3175,GB,308,2015,E2,45335
4,2500,GB,308,2018,E2,51222
5,6000,IT,308,2010,D,38000
6,3018,FR,308,2017,E2,59500
7,8055,FI,308,2011,D,42900
8,3071,DE,308,2017,E2,41176
9,5541,DE,308,2008,C,39900
10,7099,DE,308,2012,E,46500
11,3400,DE,308,2014,E2,50000
12,4209,DE,308,2014,E,47000
13,2000,GB,308,2019,E2,64554
14,4500,GB,308,2014,E,38132
15,6390,FR,308,2010,D,30000
16,2956,FR,308,2017,E2,60000
17,4223,SE,308,2016,E2,65460
18,4257,FI,308,2017,E2,69900
19,6800,SE,308,2014,E2,54654
20,2568,DE,308,2016,E2,61890
21,3900,GB,308,2017,E2,45300
22,3275,GB,308,2015,E2,44704
23,2023,CH,308,2018,E2,70743
24,1680,SE,308,2017,E2,77353
25,2600,ES,308,2018,E,80000
26,4500,SE,308,2015,E2,63164
27,1800,FR,308,2020,E,80000
28,3245,AT,308,2012,D,55500
29,5900,DE,308,2012,E,39500
30,2155,DE,308,2018,E,77900
31,1972,GB,308,2019,E2,82694
32,2885,BE,308,2013,E,41000
33,750,NL,308,2020,E,91000
34,736,GB,308,2018,E2,64783
35,2653,IT,308,2018,E2,63000
36,7998,FI,308,2005,C,38500
37,4080,IE,308,2016,E2,72526
38,3400,DE,308,2011,D,50500
39,1933,GB,308,2017,E,90822
40,7748,NL,308,2012,E,39900
41,5200,RO,308,2014,E2,51000
42,9333,NL,308,2013,E2,42950
43,3704,FI,308,2013,E2,56000
44,5300,GB,308,2014,E2,36946
45,5162,GB,308,2013,E2,35242
46,7729,FI,308,2011,D,44500
47,4750,FI,308,2010,D,49900
48,5100,PL,308,2010,D,36000
49,1490,GE,308,2017,E2,84843
50,6550,FR,308,2012,E,41900
51,5200,NL,308,2011,D,34500
52,5041,BE,308,2004,C,28950
53,6300,PL,308,2012,D,36060
54,5369,DE,308,2011,D,43500
55,5600,IT,308,2010,D,44000
56,570,FR,308,2016,E2,64000
57,9075,SE,308,2012,D,57143
58,5135,PL,308,2015,E2,50598
59,2662,FI,308,2018,E2,69000
60,7480,SE,308,2012,E,52523
61,4100,SE,308,2017,E,62679
62,6560,FR,308,2006,C,25900
63,447,DE,308,2019,E2,84200
64,4377,NO,308,2014,E2,61495
65,7501,NL,308,2011,D,33800
66,4484,ES,308,2013,E,48000
67,1486,GE,308,2017,E2,85206
68,6500,FR,308,2012,E,38900
69,4700,NL,308,2015,E2,41900
70,2222,IT,308,2017,E2,59900
71,5600,PL,308,2011,D,32500
72,4579,SK,308,2017,E2,56000
73,9804,EE,308,2011,D,45000
74,1735,DE,308,2017,E,67000
75,5000,BE,308,2015,E2,40000
76,1095,DE,308,2019,D,69900
77,2940,DE,308,2015,E,49900
78,4700,LT,308,2011,D,31500
79,6192,DE,308,2012,D,33900
80,6200,FR,308,2012,E2,32800
81,1600,NL,308,2019,E2,58500
82,750,PL,308,2020,E,70200
83,2594,FR,308,2017,E2,76000
84,7454,FI,308,2012,E,42500
85,3200,SE,308,2013,E,53095
86,2700,AT,308,2007,C,42500
87,4885,BE,308,2008,C,26000
88,3755,FR,308,2016,E2,50000
89,4700,NL,308,2014,E2,41900
90,5138,IT,308,2009,D,32000
91,4750,DE,308,2015,E2,44000
92,3700,ES,308,2012,D,35750
93,7989,ES,308,2010,D,27250
94,3015,FI,308,2016,E2,55800
95,8060,SE,308,2013,E,46361
96,4090,PL,308,2017,E2,53936
97,4277,FR,308,2017,E2,50000
98,478,PL,308,2017,E2,50930
99,2522,FR,308,2017,E2,70000
100,5143,NL,308,2009,D,33500
101,2456,NL,308,2016,E2,56900
102,4068,BE,308,2015,E2,53500
103,2936,IT,308,2013,E2,44000
104,2149,DE,308,2019,C,64700
105,2997,DE,308,2016,E,53900
106,2838,FI,308,2019,NG,75000
107,6673,BE,308,2010,D,24950
108,4907,FI,308,2015,E2,58000
109,2900,NO,308,2014,E2,55954
110,3441,DE,308,2014,E2,35500
111,1115,NL,308,2018,E2,67800
112,1170,CZ,308,2018,E2,63694
113,3213,PL,308,2017,E2,56000
114,4611,FR,308,2017,E2,53000
115,4090,FR,308,2015,E2,52000
116,7966,CZ,308,2008,D,29722
117,1706,NL,308,2017,E2,59000
118,3050,BE,308,2015,E2,45000
119,2000,DE,308,2017,E2,57000
120,2365,DE,308,2016,E2,49950
121,5025,NO,308,2014,E2,57503
122,1689,EE,308,2016,E2,54750
123,1746,BE,308,2015,E,62500
124,4637,NL,308,2012,E,43500
125,3417,LT,308,2016,E2,43000
126,2017,IT,308,2017,E2,59000
127,626,IT,308,2018,E2,72000
128,5700,SE,308,2012,E,39994
129,4071,NL,308,2012,E,41900
130,2580,UA,308,2016,E2,83000
131,3033,BE,308,2017,E2,48750
132,5145,PL,308,2015,E,47448
133,2800,DE,308,2015,E2,51900
134,1411,PL,308,2018,E2,56282
135,5700,IT,308,2009,D,32000
136,5250,SE,308,2006,C,38591
137,3653,PL,308,2017,E2,54109
138,4090,IT,308,2015,E2,51000
139,7617,AT,308,2014,E2,41500
140,2565,CH,308,2016,E2,55229
141,1850,FR,308,2017,E,59500
142,2039,FR,308,2017,E2,40900
143,1311,SE,308,2018,E2,82263
144,2780,IT,308,2017,E2,61000
145,3000,GB,308,2016,E,51320
146,2399,SK,308,2016,E2,60000
147,8300,DE,308,2010,D,28900
148,2660,CH,308,2016,E2,56750
149,4250,AT,308,2016,E2,53900
150,1479,LT,308,2018,E2,67750
151,4400,RO,308,2014,E2,44900
152,687,FI,308,2019,E2,74000
153,2716,IT,308,2017,E2,62000
154,1800,SI,308,2019,E2,78500
155,3960,PL,308,2016,E2,46316
156,2400,FI,308,2018,E2,79900
157,2433,BE,308,2014,E2,46500
158,4865,BE,308,2010,D,38500
159,2176,FR,308,2018,E2,69000
160,2537,FR,308,2018,E2,66000
161,2802,IT,308,2016,E2,57000
162,3079,PL,308,2014,E2,43550
163,6127,IT,308,2014,E2,37000
164,4114,PL,308,2015,E2,44603
165,8600,SE,308,2012,D,46826
166,2851,PL,308,2016,E2,50219
167,4900,UA,308,2007,C,28500
168,785,DE,308,2017,E2,74500
169,1625,GE,308,2009,D,54663
170,9035,NO,308,2010,D,48067
171,3540,FR,308,2016,E2,61000
172,7000,PL,308,2010,D,33180
173,4724,LV,308,2016,E2,49000
174,4000,DE,308,2012,E,42000
175,7698,FI,308,2011,D,43000
176,8110,FI,308,2011,D,52900
177,3250,FR,308,2015,E2,51900
178,1646,IT,308,2017,E2,59000
179,4134,FI,308,2014,E2,59900
180,7700,SE,308,2013,E,46664
181,5338,FI,308,2017,E2,58500
182,1450,BE,308,2017,E2,52450
183,1403,PL,308,2018,E2,56000
184,5664,LT,308,2013,E,39900
185,3500,DE,308,2017,E2,49900
186,1600,PL,308,2017,E2,53150
187,1427,LT,308,2019,E2,69000
188,7681,UA,308,2013,E,50900
189,4430,FR,308,2012,E,41500
190,4484,FR,308,2012,D,38000
191,2580,NL,308,2016,E2,52500
192,310,PL,308,2018,E2,66000
193,1737,PL,308,2018,E2,63119
194,2210,BE,308,2018,E2,67000
195,2281,FR,308,2016,E2,65000
196,2525,DE,308,2016,E,59000
197,4393,ES,308,2012,E,42500
198,1287,FR,308,2017,E2,68000
199,5336,ES,308,2011,D,44500
200,1829,FR,308,2018,E2,72000
201,1,FI,308,2015,E2,49700
202,7,DE,308,2020,E2,74500
203,7,DE,308,2018,E2,74500
204,29,PL,308,2018,E2,54210
205,8906,NO,320,2012,E,78954
206,6070,NL,320,2018,D2,99000
207,550,DE,320,2019,NG,87000
208,9644,NL,320,2007,D,42500
209,7486,NL,320,2010,D,63900
210,6971,DE,320,2013,E,71500
211,12609,NL,320,2010,D,58900
212,6000,NO,320,2011,D,70874
213,5703,NL,320,2017,F,100000
214,10625,SE,320,2012,E,86064
215,10535,TR,320,2013,D,74250
216,2700,NL,320,2020,NG,97500
217,2542,NL,320,2019,NG,97500
218,12000,PL,320,2008,D,21500
219,8600,LV,320,2015,E,83500
220,7740,NL,320,2010,D,61900
221,6000,IT,320,2005,C,48000
222,4980,PL,320,2014,E,88000
223,9508,DE,320,2013,E,68500
224,7134,DE,320,2012,E,68900
225,1302,AT,320,2019,NG,125900
226,10000,DE,320,2012,E,64900
227,8111,BG,320,2010,D,58900
228,9150,DE,320,2012,E,69500
229,7735,NO,320,2015,E,98770
230,13073,NL,320,2006,C,41000
231,3100,BY,320,2020,NG,115000
232,8750,NO,320,2014,E,86780
233,9700,GB,320,2007,D,49453
234,18855,PL,320,2003,C,37284
235,13600,ES,320,2010,D,56000
236,715,BE,320,2020,D3,89000
237,11695,GB,320,2011,D,51192
238,9344,NL,320,2005,C,48500
239,12000,GB,320,2007,D,45765
240,8258,FR,320,2011,D,52000
241,6875,BE,320,2015,E,79500
242,1737,DE,320,2020,NG,165000
243,9300,IE,320,2013,E,66500
244,4355,AT,320,2018,NG,121500
245,7600,NO,320,2015,E,99430
246,9377,PL,320,2015,E,112100
247,16339,NL,320,2008,D,37500
248,12982,NL,320,2008,D,47500
249,14623,NL,320,2002,C,47900
250,5942,BE,320,2017,D2,68880
251,9590,FI,320,2013,E,89500
252,13725,NL,320,2009,D,49800
253,8800,NO,320,2014,E,83580
254,12036,PL,320,2005,C,47044
255,6949,ES,320,2016,E,104500
256,7696,FR,320,2016,F,95000
257,8250,FR,320,2011,D,55000
258,12372,PL,320,2012,E,65000
259,8600,BY,320,2010,D,46900
260,7700,NO,320,2015,E,99770
261,9040,DE,320,2013,E,67500
262,9200,NO,320,2011,D,47326
263,11807,SE,320,2013,E,68563
264,13057,IE,320,2005,B,29950
265,10748,BE,320,2014,E,59000
266,7800,PL,320,2014,E,77500
267,16737,FR,320,2010,D,42900
268,9701,NL,320,2013,E,10000
269,8558,DE,320,2013,E,102221
270,10687,FR,320,2012,E,65000
271,11000,LT,320,2015,E,70000
272,11075,NL,320,2008,D,51900
273,3374,DE,320,2019,NG,159000
274,7800,FI,320,2014,E,105000
275,7720,PL,320,2015,E,74500
276,9674,FI,320,2015,E,98000
277,7814,FI,320,2008,D,46000
278,6900,DE,320,2012,E,69500
279,9996,EE,320,2012,E,62500
280,8300,GB,320,2015,E,71080
281,13213,IE,320,2004,B,30000
282,5027,DE,320,2018,NG,120000
283,17897,NL,320,2007,D,47800
284,12081,NL,320,2013,E,69800
285,8776,PT,320,2012,F,69000
286,8458,NL,320,2012,E,69000
287,1515,FR,320,2018,NG,155000
288,8169,NL,320,2014,E,67800
289,6500,DE,320,2016,E,118000
290,10611,DE,320,2012,E,66000
291,1608,UA,320,2018,D2,117000
292,1750,UA,320,2018,D,115000
293,246,DE,320,2020,NG,134500
294,11760,NL,320,2013,E,66900
295,9500,PL,320,2014,E,61858
296,2710,TR,320,2020,NG,95000
297,9300,FI,320,2015,E,82000
298,12725,FI,320,2003,C,49900
299,4335,FR,320,2015,E,120000
300,8470,TR,320,2014,D,72000
301,7200,FR,320,2017,F,103000
302,3215,PL,320,2020,NG,136000
303,2801,PL,320,2019,NG,128000
304,9322,NL,320,2004,C,39500
305,9000,NL,320,2002,C,39500
306,3744,PL,320,2016,F,156000
307,8500,NO,320,2014,E,64611
308,9950,NO,320,2013,E,71911
309,10600,DE,320,2013,E,60900
310,7337,SE,320,2016,F,116581
311,895,BE,320,2019,D3,89000
312,18706,NL,320,2011,D,49800
313,11147,PL,320,2010,D,41430
314,1403,NL,320,2018,D3,81800
315,1701,NL,320,2020,D3,86800
316,1364,NL,320,2018,D,85800
317,10275,NL,320,2012,E,62900
318,3330,FI,320,2017,F,124900
319,12076,EE,320,2013,E,67900
320,1181,FR,320,2019,NG,150000
321,8443,FR,320,2015,E,70000
322,10458,PL,320,2013,E,70280
323,5905,FI,320,2016,F,125000
324,6876,PL,320,2015,E,83499
325,10649,PL,320,2014,E,79214
326,3531,PL,320,2017,F,144000
327,11135,NL,320,2012,E,65900
328,12700,NL,320,2005,C,47750
329,7461,EE,320,2013,E,73000
330,398,DE,320,2021,NG,159000
331,8811,BE,320,2014,E,69000
332,4771,UK,320,2017,F,71846
333,5805,NL,320,2017,F,84900
334,8657,EE,320,2012,E,73000
335,5200,DE,320,2013,E,93000
336,10128,DE,320,2009,D,54700
337,6390,FI,320,2017,F,119000
338,15878,NL,320,2007,D,56000
339,11322,NL,320,2009,D,51900
340,15191,NL,320,2006,C,44900
341,7408,NO,320,2015,E,79381
342,15049,DE,320,2004,B,34000
343,9190,BE,320,2013,E,7500
344,9698,BE,320,2013,E,7500
345,13000,IE,320,2012,D,55000
346,3100,LV,320,2019,NG,135000
347,5400,LV,320,2018,NG,95000
348,13717,NL,320,2007,D,51500
349,9000,NL,320,2005,C,44500
350,6500,NO,320,2014,E,84404
351,10430,EE,320,2006,D,43900
352,6463,DE,320,2012,E,79000
353,1925,BE,320,2018,NG,137000
354,6811,SK,320,2016,E,97000
355,3862,NL,320,2019,NG,119500
356,6779,NL,320,2014,E,72500
357,13300,DE,320,2008,D,47000
358,7482,NL,320,2012,E,147500
359,9100,BE,320,2013,E,58000
360,9600,BE,320,2013,E,58000
361,10645,SE,320,2014,E,67683
362,11000,RO,320,2012,D,58000
363,11260,PL,320,2012,E,73272
364,7100,NO,320,2015,E,102372
365,7567,PL,320,2011,D,59000
366,2930,FR,320,2017,F,140000
367,11600,FR,320,2013,E,56500
368,10074,NL,320,2015,E,66800
369,9799,NL,320,2005,C,45000
370,8674,NL,320,2009,D,64950
371,10545,NL,320,2007,D,54900
372,8986,NL,320,2013,E,68900
373,6692,DE,320,2015,E,62000
374,3067,BE,320,2017,F,115000
375,10779,LV,320,2013,E,71000
376,12154,NL,320,2013,E,59900
377,9416,NL,320,2003,C,43500
378,16000,HU,320,2004,C,43411
379,10646,BE,320,2011,D,44000
380,10226,NL,320,2008,D,52900
381,6650,FI,320,2015,E,97000
382,8673,LV,320,2014,E,71000
383,5258,PL,320,2016,E,115000
384,5950,PL,320,2014,E,99940
385,12384,SE,320,2005,C,31520
386,5184,BE,320,2016,D2,64000
387,9300,NL,320,2010,D,52750
388,11000,NL,320,2012,D,69000
389,10789,NL,320,2008,D,46800
