,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.16944136569354218,-0.17235498554344558,0.023636817932128906,0.01636219024658203,5.983584880828857,0.002817869186401367,0.0003688335418701172,0.2740352153778076,2,True,12
1,NeuralNetTorch,-0.1706459123431515,-0.1735071405575407,0.009330511093139648,0.007493495941162109,4.491070032119751,0.009330511093139648,0.007493495941162109,4.491070032119751,1,True,10
2,LightGBMXT,-0.17885696722933153,-0.18674516977149772,0.008812427520751953,0.0047342777252197266,0.4386136531829834,0.008812427520751953,0.0047342777252197266,0.4386136531829834,1,True,3
3,NeuralNetFastAI,-0.18412978425110094,-0.19587880503158497,0.021530866622924805,0.013859272003173828,3.227372407913208,0.021530866622924805,0.013859272003173828,3.227372407913208,1,True,8
4,LightGBM,-0.1869871943218475,-0.1957653130332085,0.0032944679260253906,0.0029571056365966797,0.3576977252960205,0.0032944679260253906,0.0029571056365966797,0.3576977252960205,1,True,4
5,RandomForestMSE,-0.19638266614372477,-0.21316768346121528,0.1295933723449707,0.06965112686157227,0.49598264694213867,0.1295933723449707,0.06965112686157227,0.49598264694213867,1,True,5
6,XGBoost,-0.19899448583649293,-0.1939146323486475,0.011404275894165039,0.005209445953369141,0.3684346675872803,0.011404275894165039,0.005209445953369141,0.3684346675872803,1,True,9
7,ExtraTreesMSE,-0.20141325603923146,-0.2142865688631586,0.09902238845825195,0.07162618637084961,0.5030646324157715,0.09902238845825195,0.07162618637084961,0.5030646324157715,1,True,7
8,LightGBMLarge,-0.2020887327839255,-0.20657397687147983,0.0081939697265625,0.005542755126953125,0.8607819080352783,0.0081939697265625,0.005542755126953125,0.8607819080352783,1,True,11
9,CatBoost,-0.20363570046992246,-0.21651473921057535,0.003384828567504883,0.0019829273223876953,0.43821120262145996,0.003384828567504883,0.0019829273223876953,0.43821120262145996,1,True,6
10,KNeighborsDist,-0.37091908159932063,-0.41132196365105644,0.019465208053588867,0.016139507293701172,0.01045989990234375,0.019465208053588867,0.016139507293701172,0.01045989990234375,1,True,2
11,KNeighborsUnif,-0.37290763342912886,-0.396805695524673,0.016918182373046875,0.01681971549987793,0.04059958457946777,0.016918182373046875,0.01681971549987793,0.04059958457946777,1,True,1
