,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.15926855807425935,-0.15582012481331178,0.11380791664123535,0.07798981666564941,8.107231855392456,0.0029129981994628906,0.00029587745666503906,0.2085731029510498,2,True,12
1,NeuralNetTorch,-0.16586234503305805,-0.15872663457721012,0.00699615478515625,0.005315303802490234,6.207401990890503,0.00699615478515625,0.005315303802490234,6.207401990890503,1,True,10
2,ExtraTreesMSE,-0.17127733988127353,-0.19688945633580127,0.09577202796936035,0.06557083129882812,0.534616231918335,0.09577202796936035,0.06557083129882812,0.534616231918335,1,True,7
3,LightGBM,-0.17374254694444158,-0.18165278238972188,0.0053446292877197266,0.0032203197479248047,0.6489455699920654,0.0053446292877197266,0.0032203197479248047,0.6489455699920654,1,True,4
4,RandomForestMSE,-0.17439516390504023,-0.19768824703704815,0.09193658828735352,0.06568527221679688,0.5160396099090576,0.09193658828735352,0.06568527221679688,0.5160396099090576,1,True,5
5,CatBoost,-0.1766692171458187,-0.18893255077799426,0.005448818206787109,0.0029211044311523438,1.1773872375488281,0.005448818206787109,0.0029211044311523438,1.1773872375488281,1,True,6
6,LightGBMXT,-0.177484691508839,-0.17331786065219387,0.006617546081542969,0.003473043441772461,0.5262715816497803,0.006617546081542969,0.003473043441772461,0.5262715816497803,1,True,3
7,XGBoost,-0.18039455915095473,-0.18295156491722336,0.012271642684936523,0.004995822906494141,0.412473201751709,0.012271642684936523,0.004995822906494141,0.412473201751709,1,True,9
8,NeuralNetFastAI,-0.18832761461801764,-0.18912203657780777,0.017998695373535156,0.010244131088256836,2.236220598220825,0.017998695373535156,0.010244131088256836,2.236220598220825,1,True,8
9,LightGBMLarge,-0.1946447704466776,-0.2044646469096593,0.00926828384399414,0.003909111022949219,2.0805258750915527,0.00926828384399414,0.003909111022949219,2.0805258750915527,1,True,11
10,KNeighborsDist,-0.37091908159932063,-0.41132196365105644,0.01958775520324707,0.019255399703979492,0.00629115104675293,0.01958775520324707,0.019255399703979492,0.00629115104675293,1,True,2
11,KNeighborsUnif,-0.37290763342912886,-0.396805695524673,0.01841282844543457,0.0166780948638916,0.003838777542114258,0.01841282844543457,0.0166780948638916,0.003838777542114258,1,True,1
