,basic-subset,extension,location,extension-location
Test-MAE,17358.15,15357.74,16747.27,13598.25
Test-MAPE,0.1925,0.1776,0.1789,0.1496
Test-RMSE,26280.66,22977.12,25381.09,21216.73
Test-N-RMSE,0.0922,0.0806,0.089,0.0744
Test-IQR-RMSE,0.4523,0.3954,0.4368,0.3651
Test-CV-RMSE,0.2702,0.2363,0.261,0.2182
Test-R2,0.7162,0.783,0.7353,0.815
Training-Duration,1154.326,1262.82,1349.902,1705.743
Test-Duration,5.096e-07,7.693e-07,7.661e-07,9.905e-07
Activation,relu,relu,relu,relu
Hidden-layer-size,"(10, 10, 10)","(10, 10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10, 10, 10, 10)"
Learning rate,0.01,0.001,0.0001,0.001
Solver,adam,adam,adam,adam
