,model,extension,location,working_hours,price,const_year
0,308,D,FI,8973,44900,2011
1,308,E2,PL,4183,49040,2016
2,308,E2,PL,4655,57943,2017
3,308,E2,GB,3175,45335,2015
4,308,E2,GB,2500,51222,2018
5,308,D,IT,6000,38000,2010
6,308,E2,FR,3018,59500,2017
7,308,D,FI,8055,42900,2011
8,308,E2,DE,3071,41176,2017
9,308,E,PL,6270,156000,2012
10,308,C,DE,5541,39900,2008
11,308,E,DE,7099,46500,2012
12,308,E2,DE,3400,50000,2014
13,308,E,DE,4209,47000,2014
14,308,E2,GB,2000,64554,2019
15,308,E,GB,4500,38132,2014
16,308,D,FR,6390,30000,2010
17,308,E2,FR,2956,60000,2017
18,308,E2,SE,4223,65460,2016
19,308,E2,FI,4257,69900,2017
