,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,CatBoost,-0.1416727128650297,-0.14732000454539387,0.008593559265136719,0.0050678253173828125,5.9722301959991455,0.008593559265136719,0.0050678253173828125,5.9722301959991455,1,True,6
1,LightGBMXT,-0.14328514160468953,-0.1451828604474161,0.013552665710449219,0.007264614105224609,0.9647138118743896,0.013552665710449219,0.007264614105224609,0.9647138118743896,1,True,3
2,WeightedEnsemble_L2,-0.14481431524258925,-0.1355210715324835,0.07269406318664551,0.038802146911621094,16.12053370475769,0.0038678646087646484,0.0003199577331542969,0.2107222080230713,2,True,12
3,LightGBM,-0.14773339345248834,-0.14855867429217318,0.0068624019622802734,0.00417637825012207,0.752525806427002,0.0068624019622802734,0.00417637825012207,0.752525806427002,1,True,4
4,NeuralNetTorch,-0.1493785390869063,-0.14052778708740113,0.007479667663574219,0.00587153434753418,5.738283634185791,0.007479667663574219,0.00587153434753418,5.738283634185791,1,True,10
5,NeuralNetFastAI,-0.15184199524622313,-0.1478327544465683,0.019786834716796875,0.010575294494628906,2.0532386302948,0.019786834716796875,0.010575294494628906,2.0532386302948,1,True,8
6,ExtraTreesMSE,-0.15485806829773668,-0.15553312039330805,0.09054064750671387,0.06873440742492676,0.528456449508667,0.09054064750671387,0.06873440742492676,0.528456449508667,1,True,7
7,RandomForestMSE,-0.15549072117601945,-0.1556888275234794,0.08483600616455078,0.06330609321594238,0.510983943939209,0.08483600616455078,0.06330609321594238,0.510983943939209,1,True,5
8,XGBoost,-0.1570633276005948,-0.148021659386652,0.012551069259643555,0.005526542663574219,0.4288194179534912,0.012551069259643555,0.005526542663574219,0.4288194179534912,1,True,9
9,LightGBMLarge,-0.1620227588550131,-0.1625855045318909,0.01175832748413086,0.00487518310546875,2.508417844772339,0.01175832748413086,0.00487518310546875,2.508417844772339,1,True,11
10,KNeighborsUnif,-0.3908043581069351,-0.3501853691033475,0.016794204711914062,0.017129182815551758,0.005186319351196289,0.016794204711914062,0.017129182815551758,0.005186319351196289,1,True,1
11,KNeighborsDist,-0.3929406591625052,-0.35750693183048304,0.019579410552978516,0.018280744552612305,0.00615692138671875,0.019579410552978516,0.018280744552612305,0.00615692138671875,1,True,2
