,index,working_hours,location,extension,model,const_year,price
0,0,8973,FI,D,308,2011,44900
1,1,4183,PL,E2,308,2016,49040
2,2,4655,PL,E2,308,2017,57943
3,3,3175,GB,E2,308,2015,45335
4,4,2500,GB,E2,308,2018,51222
5,5,6000,IT,D,308,2010,38000
6,6,3018,FR,E2,308,2017,59500
7,7,8055,FI,D,308,2011,42900
8,8,3071,DE,E2,308,2017,41176
9,10,6270,PL,E,308,2012,156000
10,11,5541,DE,C,308,2008,39900
11,12,7099,DE,E,308,2012,46500
12,13,3400,DE,E2,308,2014,50000
13,14,4209,DE,E,308,2014,47000
14,15,2000,GB,E2,308,2019,64554
15,17,4500,GB,E,308,2014,38132
16,18,6390,FR,D,308,2010,30000
17,19,2956,FR,E2,308,2017,60000
18,20,4223,SE,E2,308,2016,65460
19,21,4257,FI,E2,308,2017,69900
