,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,ExtraTreesMSE,-0.1827422949475024,-191.93952675625914,0.09161520004272461,0.06776118278503418,0.5280759334564209,0.09161520004272461,0.06776118278503418,0.5280759334564209,1,True,7
1,RandomForestMSE,-0.1831132393229012,-203.89300081846298,0.09178829193115234,0.06488633155822754,0.5029497146606445,0.09178829193115234,0.06488633155822754,0.5029497146606445,1,True,5
2,CatBoost,-0.185062978660841,-223.5452856015524,0.0052242279052734375,0.002939939498901367,1.6986281871795654,0.0052242279052734375,0.002939939498901367,1.6986281871795654,1,True,6
3,NeuralNetFastAI,-0.18537058351413227,-230.2374213565582,0.01879596710205078,0.010289669036865234,2.2405271530151367,0.01879596710205078,0.010289669036865234,2.2405271530151367,1,True,8
4,KNeighborsUnif,-0.3998720321348207,-176.68192941166225,0.016710996627807617,0.01712512969970703,0.0038492679595947266,0.016710996627807617,0.01712512969970703,0.0038492679595947266,1,True,1
5,KNeighborsDist,-0.4110479111443224,-169.67436506980778,0.019237041473388672,0.017700672149658203,0.006313800811767578,0.019237041473388672,0.017700672149658203,0.006313800811767578,1,True,2
6,NeuralNetTorch,-0.4136969720103897,-157.54506257152607,0.006818056106567383,0.008111238479614258,2.0440802574157715,0.006818056106567383,0.008111238479614258,2.0440802574157715,1,True,10
7,LightGBMXT,-0.49515564099048237,-189.96395095974367,0.0044901371002197266,0.002804994583129883,0.36043453216552734,0.0044901371002197266,0.002804994583129883,0.36043453216552734,1,True,3
8,LightGBM,-0.5054787563372801,-191.1599523057478,0.0037147998809814453,0.0027871131896972656,0.4923057556152344,0.0037147998809814453,0.0027871131896972656,0.4923057556152344,1,True,4
9,LightGBMLarge,-0.5118425863172659,-190.01400039608362,0.0030558109283447266,0.0027251243591308594,1.4564366340637207,0.0030558109283447266,0.0027251243591308594,1.4564366340637207,1,True,11
10,XGBoost,-0.8947692492192462,-22.414329964251714,0.010409832000732422,0.004762887954711914,0.3440430164337158,0.010409832000732422,0.004762887954711914,0.3440430164337158,1,True,9
11,WeightedEnsemble_L2,-0.8947692492192462,-22.414329964251714,0.011721611022949219,0.005059480667114258,0.5566558837890625,0.0013117790222167969,0.00029659271240234375,0.21261286735534668,2,True,12
