,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.15132568721330183,-0.18111873506684295,0.12250924110412598,0.07937407493591309,8.271225690841675,0.003391265869140625,0.0003001689910888672,0.2122044563293457,2,True,12
1,NeuralNetTorch,-0.15365596496271436,-0.1840506541117761,0.006842613220214844,0.00544285774230957,6.180466890335083,0.006842613220214844,0.00544285774230957,6.180466890335083,1,True,10
2,LightGBMXT,-0.15634924211302378,-0.18751516068140983,0.014953136444091797,0.0076253414154052734,1.1046545505523682,0.014953136444091797,0.0076253414154052734,1.1046545505523682,1,True,3
3,XGBoost,-0.15744060863309042,-0.18685364807359053,0.01096487045288086,0.0049915313720703125,0.37596750259399414,0.01096487045288086,0.0049915313720703125,0.37596750259399414,1,True,9
4,NeuralNetFastAI,-0.15868930887087146,-0.1877544959178402,0.01891183853149414,0.01060795783996582,2.276553153991699,0.01891183853149414,0.01060795783996582,2.276553153991699,1,True,8
5,CatBoost,-0.1614889371716778,-0.18874444313386485,0.005811214447021484,0.00304412841796875,2.508805513381958,0.005811214447021484,0.00304412841796875,2.508805513381958,1,True,6
6,LightGBM,-0.1681286023844867,-0.19053808507684478,0.008761167526245117,0.0049648284912109375,0.9845383167266846,0.008761167526245117,0.0049648284912109375,0.9845383167266846,1,True,4
7,RandomForestMSE,-0.1772264218235224,-0.19820769150930773,0.09100890159606934,0.06792640686035156,0.5183379650115967,0.09100890159606934,0.06792640686035156,0.5183379650115967,1,True,5
8,ExtraTreesMSE,-0.17794869442120334,-0.1948634692097861,0.09254932403564453,0.0636746883392334,0.5180485248565674,0.09254932403564453,0.0636746883392334,0.5180485248565674,1,True,7
9,LightGBMLarge,-0.1800206249736759,-0.19841780250646504,0.015276432037353516,0.007151603698730469,2.9053902626037598,0.015276432037353516,0.007151603698730469,2.9053902626037598,1,True,11
10,KNeighborsUnif,-0.3720776133400163,-0.40030490222798093,0.017409324645996094,0.01725625991821289,0.00383758544921875,0.017409324645996094,0.01725625991821289,0.00383758544921875,1,True,1
11,KNeighborsDist,-0.3810198170519171,-0.40082629412948584,0.02000594139099121,0.018250465393066406,0.00622868537902832,0.02000594139099121,0.018250465393066406,0.00622868537902832,1,True,2
