model_id,rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
73,1,0.5,gradient_boosting,15139.57668442919,1.1307854652404785,72,13046.551923727908,0,1701938102.3539474,1701938103.4994256,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
74,2,0.06,random_forest,15478.518162933526,1.2274556159973145,73,11159.7944207882,0,1701938108.0329502,1701938109.2783873,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
7,3,0.02,extra_trees,15595.374449060693,1.1417384147644043,6,15044.898435272948,0,1701936986.9980867,1701936988.1592197,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Initial design
62,4,0.04,gradient_boosting,15792.19129561055,1.284921646118164,61,11541.525006458452,0,1701938052.6606236,1701938053.9604204,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
78,5,0.0,random_forest,15814.905522940751,1.1073133945465088,77,13949.43096805516,0,1701938121.1702173,1701938122.2948575,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
63,6,0.0,gradient_boosting,15870.217855852601,1.3299674987792969,62,11152.488188827323,0,1701938058.713944,1701938060.0591378,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
76,7,0.0,random_forest,15909.825830924856,1.3788645267486572,75,12796.744779789053,0,1701938114.502328,1701938115.8965619,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
87,8,0.0,random_forest,16012.430048771676,1.1006426811218262,86,14727.649989755559,0,1701938149.3088388,1701938150.4265633,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
98,9,0.04,gradient_boosting,16234.727206015174,1.700443983078003,97,8947.88407523874,0,1701938393.5276546,1701938395.24502,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
42,10,0.0,random_forest,16365.90293533237,1.4957053661346436,41,13321.805362296893,0,1701937603.6084938,1701937605.1211336,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search (sorted)
5,11,0.08,adaboost,16469.932850885114,0.9551775455474854,4,7250.622504587728,0,1701936974.879075,1701936975.8525553,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Initial design
2,12,0.0,random_forest,16480.68475207731,2.079357385635376,1,6478.6137288875425,0,1701936971.5441165,1701936973.6446996,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Initial design
44,13,0.02,random_forest,16516.70266663656,37.96200442314148,43,12321.565396281714,0,1701937615.8038223,1701937653.782795,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
43,14,0.0,gradient_boosting,16560.441343027458,1.5137674808502197,42,9279.809063658067,0,1701937609.4077897,1701937610.940626,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
50,15,0.08,k_nearest_neighbors,16635.45549132948,2.636955499649048,49,13288.109749144813,0,1701937670.4265935,1701937673.0847266,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search
36,16,0.0,gradient_boosting,16676.585867503614,1.1961779594421387,35,10245.30626870724,0,1701937572.3513656,1701937573.5645483,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
37,17,0.0,gradient_boosting,16772.75788701228,1.976639986038208,36,8638.566154593072,0,1701937577.5297644,1701937579.5234458,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
101,18,0.0,extra_trees,17024.939563764452,1.037219524383545,100,17444.325840044185,0,1701938587.282704,1701938588.3385305,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
16,19,0.0,gradient_boosting,17124.890839505057,2.0326740741729736,15,6411.716965574224,0,1701937179.947203,1701937182.0005343,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Initial design
99,20,0.0,extra_trees,17209.92409682081,0.9918360710144043,98,17938.00957409849,0,1701938400.0047472,1701938401.0134754,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
56,21,0.0,decision_tree,17229.281791907513,0.7115192413330078,55,15145.403085358466,0,1701938041.8709126,1701938042.6009603,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search
80,22,0.0,random_forest,17858.595050578035,1.6321160793304443,79,15206.170333879703,0,1701938128.1950672,1701938129.8463635,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Random Search
38,23,0.0,gradient_boosting,17978.38894282876,2.684302568435669,37,6029.317990797819,0,1701937583.8291771,1701937586.5304482,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
66,24,0.0,extra_trees,19194.481557080926,0.8756887912750244,65,20004.355346262117,0,1701938075.5466177,1701938076.4376287,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search (sorted)
104,25,0.0,gradient_boosting,19362.138560106574,1.7339794635772705,103,3591.9622948884694,0,1701938596.6068518,1701938598.3580298,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
48,26,0.0,ard_regression,19418.832077537932,0.489962100982666,47,20339.307181798747,0,1701937664.390799,1701937664.8973904,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
67,27,0.0,random_forest,19697.881945447978,1.280578374862671,66,16157.370946764539,0,1701938081.1569707,1701938082.4542832,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
35,28,0.02,random_forest,20057.345217666185,10.206065654754639,34,17318.924458380843,0,1701937558.570612,1701937568.7956772,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Random Search
19,29,0.04,random_forest,20389.924575505782,11.866204500198364,18,12775.551523971993,0,1701937290.844261,1701937302.7316642,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Initial design
70,30,0.02,liblinear_svr,20501.575198699422,0.49878883361816406,69,20278.48201209735,0,1701938090.5217223,1701938091.0358198,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search
103,31,0.0,adaboost,20519.66697525289,1.7719569206237793,102,15577.60564914125,0,1701938589.7737775,1701938591.5627987,0.0,StatusType.SUCCESS,[],['fast_ica'],,Random Search
69,32,0.02,k_nearest_neighbors,20650.880541004335,1.2687218189239502,68,21438.73873334165,0,1701938088.6163166,1701938089.9029274,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search
64,33,0.0,gradient_boosting,20964.517925848988,1.3694536685943604,63,13167.142535811003,0,1701938064.8260465,1701938066.21237,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
40,34,0.0,gradient_boosting,21968.66732071893,2.8208184242248535,39,11429.695254596636,0,1701937591.6645606,1701937594.5049088,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
68,35,0.0,sgd,22141.74554563313,0.49945974349975586,67,23534.45230711499,0,1701938087.4983413,1701938088.0129578,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Random Search (sorted)
95,36,0.04,mlp,22311.448385567197,1.0566256046295166,94,23258.251225992375,0,1701938202.522669,1701938203.5946815,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search
105,37,0.0,k_nearest_neighbors,22339.05895953757,0.5129232406616211,104,528.7862029646523,0,1701938602.645258,1701938603.1749396,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search (sorted)
89,38,0.02,libsvm_svr,22358.41993090679,30.10954785346985,88,23839.50668561146,0,1701938157.2458625,1701938187.3729126,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Random Search
84,39,0.0,ard_regression,22576.9369964776,0.5869948863983154,83,24177.50397194805,0,1701938142.428535,1701938143.034489,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Random Search
79,40,0.0,ard_regression,22576.938878477238,0.5665192604064941,78,24177.50663021353,0,1701938126.8996441,1701938127.4830005,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
49,41,0.0,ard_regression,22576.938882993134,0.5204806327819824,48,24177.50662715133,0,1701937669.436635,1701937669.9746296,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
65,42,0.0,ard_regression,22576.938932667992,0.5487685203552246,64,24177.506663619315,0,1701938070.549054,1701938071.1142323,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
25,43,0.0,liblinear_svr,22583.72613405437,0.5702269077301025,24,24187.682396152544,0,1701937533.2500002,1701937533.8393233,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Initial design
33,44,0.0,adaboost,22886.448017521678,2.2111148834228516,32,21675.31887605117,0,1701937551.8938384,1701937554.1223636,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search (sorted)
93,45,0.0,gradient_boosting,22938.92655685513,3.7664825916290283,92,2455.821018475627,0,1701938190.5566263,1701938194.342424,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Random Search
12,46,0.0,extra_trees,24024.75883760838,4.732774496078491,11,24333.407138593928,0,1701936992.6712418,1701936997.4243257,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Initial design
83,47,0.0,adaboost,25060.2800216763,1.203042984008789,82,24510.39911897805,0,1701938140.4689128,1701938141.6910093,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search
