model_id,rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
86,1,0.26,gradient_boosting,14096.980559067919,0.8926246166229248,85,10087.859406178733,0,1702180198.1855774,1702180199.1016557,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
121,2,0.0,gradient_boosting,14370.709605310694,0.8554995059967041,120,8784.199797783638,0,1702180709.9832602,1702180710.8594253,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
2,3,0.04,random_forest,14385.613531882225,2.6927952766418457,1,5518.7447330209525,0,1702179270.3089406,1702179273.0255334,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Initial design
56,4,0.0,gradient_boosting,14449.546531791908,0.9611194133758545,55,7598.000423139966,0,1702180047.593326,1702180048.5780175,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
45,5,0.14,gradient_boosting,14474.389875361272,0.7338395118713379,44,13859.672500801738,0,1702179801.2064373,1702179801.9629648,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
61,6,0.2,extra_trees,14530.412594833815,1.579721450805664,60,166.21884353620297,0,1702180071.4630606,1702180073.0651932,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
154,7,0.0,extra_trees,14568.471793713872,1.9697177410125732,153,5777.093317951824,0,1702181049.688534,1702181051.6853855,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
25,8,0.0,gradient_boosting,14618.206762554191,1.9961109161376953,24,3890.024418516605,0,1702179738.0675094,1702179740.0868552,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Initial design
100,9,0.0,extra_trees,14624.709596278903,1.3066213130950928,99,10357.823889146237,0,1702180262.7850547,1702180264.1126063,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
30,10,0.0,extra_trees,14822.469824783237,1.4535975456237793,29,11524.871768546893,0,1702179765.8013265,1702179767.2771728,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search (sorted)
73,11,0.0,gradient_boosting,14958.793973536849,7.692597150802612,72,8239.414105927523,0,1702180134.365815,1702180142.0819354,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
83,12,0.0,gradient_boosting,14986.333677294075,1.7003631591796875,82,8359.38065003207,0,1702180184.7659447,1702180186.4868443,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
58,13,0.0,extra_trees,15131.255550036127,1.359971284866333,57,11802.904702198546,0,1702180057.7302718,1702180059.1134188,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
24,14,0.2,mlp,15135.23223220737,3.8054425716400146,23,12857.132605384122,0,1702179734.045098,1702179737.8776877,0.0,StatusType.SUCCESS,[],['polynomial'],,Initial design
87,15,0.0,extra_trees,15143.551589595376,1.3699357509613037,86,12968.815700274374,0,1702180203.942257,1702180205.3353848,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
15,16,0.0,extra_trees,15219.822583995665,1.1649987697601318,14,14013.090449508267,0,1702179498.785501,1702179499.9741092,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Initial design
111,17,0.0,gradient_boosting,15273.49792494581,1.1429238319396973,110,8874.020621392176,0,1702180438.549367,1702180439.7126982,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
28,18,0.0,extra_trees,15331.285481394509,1.1423735618591309,27,14474.46199980402,0,1702179756.4774928,1702179757.6435094,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
20,19,0.0,gradient_boosting,15339.436682622832,3.474017381668091,19,5402.2673209004415,0,1702179502.4372587,1702179505.9355567,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Initial design
126,20,0.0,random_forest,15386.64377257948,1.7307970523834229,125,14611.698403648803,0,1702180724.5001292,1702180726.2520661,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search
55,21,0.0,random_forest,15409.107324783237,21.96906590461731,54,15288.281347990307,0,1702180021.2199135,1702180043.2137074,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
142,22,0.0,random_forest,15412.43451950867,1.9167311191558838,141,11200.244900049885,0,1702180880.2765894,1702180882.2169852,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
14,23,0.0,adaboost,15433.729299132949,0.9425010681152344,13,5963.716040790693,0,1702179497.6905549,1702179498.657061,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Initial design
93,24,0.0,random_forest,15656.434510476878,1.5489637851715088,92,12724.849609375,0,1702180236.7063024,1702180238.2792175,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
60,25,0.02,gradient_boosting,15678.632067377168,1.7370402812957764,59,4540.966243452466,0,1702180064.5998137,1702180066.3568332,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
39,26,0.0,extra_trees,15773.7715408237,1.114417552947998,38,15448.048139965793,0,1702179792.5880196,1702179793.7233758,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
9,27,0.0,random_forest,16136.482920881503,19.683295249938965,8,9256.25805747577,0,1702179288.8992105,1702179308.6118977,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Initial design
138,28,0.0,extra_trees,16356.608620845376,5.073470830917358,137,16908.219139734178,0,1702180826.825662,1702180831.918942,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
80,29,0.04,k_nearest_neighbors,16717.458164739885,3.2399587631225586,79,14934.624869717432,0,1702180169.3519294,1702180172.6176069,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search (sorted)
46,30,0.0,extra_trees,16859.716532695085,8.232137680053711,45,16888.643270738314,0,1702179806.0244231,1702179814.2776115,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
85,31,0.0,adaboost,16877.58715227601,0.9731457233428955,84,12524.90706732825,0,1702180192.3796341,1702180193.3742526,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
106,32,0.06,decision_tree,17154.372832369943,0.9015333652496338,105,11102.702394526796,0,1702180415.150266,1702180416.0725331,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Local Search
114,33,0.0,extra_trees,17213.37264721821,1.1513221263885498,113,17387.84049850342,0,1702180450.876325,1702180452.0530703,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
34,34,0.0,gradient_boosting,17255.389559248553,0.8774731159210205,33,3959.946102546857,0,1702179776.868777,1702179777.7672212,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search
11,35,0.02,extra_trees,17553.033507947977,6.546374797821045,10,17262.050794612314,0,1702179309.2771654,1702179315.8469324,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Initial design
130,36,0.0,adaboost,17704.614057984105,5.931103467941284,129,17210.32023009906,0,1702180743.5174792,1702180749.4702203,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
68,37,0.0,mlp,17722.54801526373,3.172971725463867,67,17538.89816023197,0,1702180111.8991687,1702180115.0981126,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
135,38,0.0,random_forest,17884.76445538295,2.12445330619812,134,7893.675491733181,0,1702180797.9463098,1702180800.0954247,0.0,StatusType.SUCCESS,[],['fast_ica'],,Random Search (sorted)
151,39,0.0,gradient_boosting,18090.203870122834,0.809624433517456,150,17263.38009772306,0,1702180979.6316211,1702180980.4619582,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
110,40,0.0,decision_tree,18211.283259573698,0.5610427856445312,109,9181.531043997647,0,1702180432.989586,1702180433.5695636,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
150,41,0.0,random_forest,18251.742381683525,1.05714750289917,149,17722.222362279077,0,1702180973.1054502,1702180974.1836224,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search
118,42,0.0,decision_tree,18311.701156069365,0.7661378383636475,117,9718.632269099202,0,1702180605.0118237,1702180605.8047564,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Local Search
82,43,0.0,ard_regression,18416.703578283057,0.724768877029419,81,18310.929564733735,0,1702180179.1287494,1702180179.872143,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
72,44,0.0,decision_tree,18456.59075144509,0.6741893291473389,71,17268.62086659065,0,1702180128.184846,1702180128.8797503,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Random Search (sorted)
26,45,0.0,liblinear_svr,18601.115588308345,12.450305223464966,25,10737.152854301774,0,1702179740.2880733,1702179752.761662,0.0,StatusType.SUCCESS,[],['kitchen_sinks'],,Initial design
120,46,0.0,k_nearest_neighbors,18617.789545700867,0.6465902328491211,119,12252.119366670824,0,1702180704.1689281,1702180704.8390894,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search
63,47,0.02,gradient_boosting,18646.3271744039,1.0073232650756836,62,11706.696513994797,0,1702180082.3982337,1702180083.4281862,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
32,48,0.0,extra_trees,18812.59452221821,1.4110348224639893,31,17913.91100030288,0,1702179774.013466,1702179775.4454334,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
53,49,0.0,ard_regression,19042.007217530707,0.7432906627655029,52,19255.99462166833,0,1702180015.5163157,1702180016.27993,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
91,50,0.0,random_forest,19111.90949918714,1.9868087768554688,90,12727.914486196729,0,1702180223.469321,1702180225.477807,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Local Search
128,51,0.0,ard_regression,19223.12930026192,0.5469057559967041,127,19834.651419801616,0,1702180736.8691294,1702180737.4397404,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
38,52,0.0,adaboost,19359.23881412572,0.7025330066680908,37,19984.954403328105,0,1702179787.7597902,1702179788.4825528,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
76,53,0.0,extra_trees,19392.400797055634,8.470991134643555,75,9044.95347019313,0,1702180148.4646585,1702180156.9571848,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
102,54,0.0,random_forest,19708.505997109827,5.235375165939331,101,16614.406619690708,0,1702180393.6890292,1702180398.9485123,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
89,55,0.0,gradient_boosting,20125.755111994218,3.223442792892456,88,974.9123292964296,0,1702180214.5391703,1702180217.7834234,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search (sorted)
104,56,0.0,random_forest,20182.289961163297,2.641151189804077,103,15810.425669897377,0,1702180405.789591,1702180408.4505227,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Random Search
48,57,0.0,extra_trees,20494.480518424854,5.538509130477905,47,20545.68460260476,0,1702179819.8825278,1702179825.4442897,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
66,58,0.0,mlp,20526.08324348582,1.041335105895996,65,21547.29941996419,0,1702180104.3109388,1702180105.3730822,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
50,59,0.0,sgd,20658.16066880419,0.7345025539398193,49,21686.978231675814,0,1702179827.4052942,1702179828.161799,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Random Search
107,60,0.0,decision_tree,21580.695375722542,0.6752064228057861,106,22365.333523375142,0,1702180421.5236988,1702180422.2216816,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Local Search
139,61,0.0,gradient_boosting,22038.047071441473,1.5970349311828613,138,11641.859104413126,0,1702180837.0936434,1702180838.7162595,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
141,62,0.0,random_forest,22121.09984194364,1.7361524105072021,140,19792.943998539053,0,1702180874.1487455,1702180875.9089882,0.0,StatusType.SUCCESS,[],['fast_ica'],,Random Search
92,63,0.0,ard_regression,22597.982531385478,0.494596004486084,91,24168.22533205352,0,1702180231.0835018,1702180231.5963428,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
64,64,0.0,extra_trees,22736.395795700868,5.632433652877808,63,23245.44821880345,0,1702180088.435821,1702180094.088291,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
95,65,0.0,adaboost,23824.359682080925,1.9779269695281982,94,20338.117608412915,0,1702180243.8406954,1702180245.8415804,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
115,66,0.0,k_nearest_neighbors,23881.37725004516,0.6247498989105225,114,597.1539338654504,0,1702180452.857792,1702180453.5056295,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Random Search
52,67,0.0,decision_tree,24189.33005780347,0.7438721656799316,51,19505.361459521093,0,1702180009.8753362,1702180010.6431882,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search
99,68,0.0,decision_tree,24835.8794617052,0.5254688262939453,98,25998.35239096351,0,1702180257.239361,1702180257.7860556,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
29,69,0.0,gradient_boosting,24892.886398121387,0.8863508701324463,28,22396.422781410347,0,1702179761.3118203,1702179762.2191644,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Local Search
69,70,0.0,liblinear_svr,25349.628984149203,0.6266775131225586,68,26517.940527121045,0,1702180119.8253467,1702180120.4745202,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Random Search (sorted)
49,71,0.0,ard_regression,25379.649001986993,1.0419983863830566,48,26702.437184315317,0,1702179825.8840122,1702179826.9469843,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Random Search
149,72,0.0,random_forest,25623.585251083816,1.1711676120758057,148,24066.158107361745,0,1702180971.6532454,1702180972.846355,0.0,StatusType.SUCCESS,[],['pca'],,Random Search
8,73,0.0,random_forest,25649.799729046244,2.5862927436828613,7,10928.97610261367,0,1702179286.1957943,1702179288.807823,0.0,StatusType.SUCCESS,[],['fast_ica'],,Initial design
148,74,0.0,mlp,25835.573577492774,5.788812875747681,147,27040.15298959521,0,1702180965.582125,1702180971.3923516,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
131,75,0.0,decision_tree,26970.00346820809,0.9066729545593262,130,27782.26738882554,0,1702180754.3253624,1702180755.2571032,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
16,76,0.0,k_nearest_neighbors,28028.707726697976,0.49579811096191406,15,2391.1242873432157,0,1702179500.108687,1702179500.627736,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Initial design
125,77,0.0,decision_tree,28244.43121387283,0.694108247756958,124,28796.697263397946,0,1702180723.5600603,1702180724.273655,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Local Search
70,78,0.0,liblinear_svr,28902.277540191473,1.1466832160949707,69,30267.681149838318,0,1702180121.127006,1702180122.2964587,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Random Search
62,79,0.0,decision_tree,28904.091112716764,0.5391654968261719,61,28656.262186431013,0,1702180077.696041,1702180078.259043,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
79,81,0.0,decision_tree,28904.091112716764,0.6085898876190186,78,28656.262186431013,0,1702180164.1669884,1702180164.7983282,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search
96,80,0.0,decision_tree,28904.091112716764,0.49223947525024414,95,28656.262186431013,0,1702180250.8807855,1702180251.393397,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
81,82,0.0,k_nearest_neighbors,28998.29454479769,0.5301389694213867,80,25109.546329372148,0,1702180173.3663604,1702180173.9255562,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Random Search
42,83,0.0,decision_tree,29049.45549132948,0.5282964706420898,41,29942.65621436716,0,1702179795.2816887,1702179795.8347044,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Random Search
67,84,0.0,gradient_boosting,29087.80780685513,1.132936954498291,66,10066.901832641463,0,1702180105.9892006,1702180107.14318,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Random Search
108,85,0.0,decision_tree,29305.970240245664,0.5024456977844238,107,30396.93240450399,0,1702180427.231015,1702180427.757279,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Local Search
78,86,0.0,adaboost,29318.814414739885,1.1790099143981934,77,29658.751737100913,0,1702180162.2476816,1702180163.4473531,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
112,87,0.0,gradient_boosting,29612.099322615606,1.0856835842132568,111,26592.52446194413,0,1702180444.8273454,1702180445.9342246,0.0,StatusType.SUCCESS,[],['pca'],,Local Search
98,88,0.0,libsvm_svr,30616.356809971097,0.8040986061096191,97,31095.062695980614,0,1702180252.2391238,1702180253.0645137,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Random Search
4,89,0.0,random_forest,31098.806936416186,10.793846368789673,3,25684.493158494868,0,1702179273.64462,1702179284.4630606,0.0,StatusType.SUCCESS,[],['pca'],,Initial design
33,90,0.0,libsvm_svr,31407.304326228324,0.7889163494110107,32,31641.382193379417,0,1702179775.7450702,1702179776.555018,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search
90,91,0.0,k_nearest_neighbors,31824.471870484103,0.5058863162994385,89,30703.453169541048,0,1702180218.5439208,1702180219.069015,0.0,StatusType.SUCCESS,[],['pca'],,Random Search
105,92,0.0,mlp,31930.73223446532,1.516786813735962,104,32423.29871009122,0,1702180409.2474625,1702180410.784435,0.0,StatusType.SUCCESS,[],['fast_ica'],,Random Search
123,93,0.0,adaboost,32079.980536488438,0.9355916976928711,122,29869.22999661488,0,1702180717.3308783,1702180718.285449,0.0,StatusType.SUCCESS,[],['pca'],,Random Search
47,94,0.0,adaboost,33206.75624096821,0.6892671585083008,46,34018.92653399373,0,1702179814.6861897,1702179815.3956451,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Random Search
36,95,0.0,sgd,34233.00664739884,0.49281907081604004,35,34694.611468429306,0,1702179778.6954746,1702179779.2095768,0.0,StatusType.SUCCESS,[],['pca'],,Random Search
119,96,0.0,gaussian_process,34289.64469382225,93.11088752746582,118,748.8497324196479,0,1702180610.808858,1702180703.9450066,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Local Search
127,97,0.0,sgd,34682.23498916185,0.5336434841156006,126,35143.89477622577,0,1702180731.736536,1702180732.2886324,0.0,StatusType.SUCCESS,[],['nystroem_sampler'],,Local Search
23,98,0.0,gaussian_process,34749.1881728685,45.99491047859192,22,2297.466830280787,0,1702179687.8409653,1702179733.8669033,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Initial design
117,99,0.0,gaussian_process,34760.50218117775,141.71194505691528,116,205.16359036488026,0,1702180458.7989926,1702180600.538461,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
101,100,0.0,gaussian_process,34792.14011018786,124.68987798690796,100,205.16466825826683,0,1702180264.8945177,1702180389.6090527,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Random Search
134,101,0.0,gaussian_process,34801.62888367052,31.725379467010498,133,181.14955102622577,0,1702180761.7039614,1702180793.4534025,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
153,102,0.0,gaussian_process,34928.22407424133,58.81804633140564,152,369.4368229760547,0,1702180986.1857858,1702181045.0288832,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Local Search
140,103,0.0,gaussian_process,34980.02553287572,30.334301233291626,139,165.27686716077537,0,1702180843.5444286,1702180873.9031863,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
137,104,0.0,gaussian_process,34988.71364703757,16.09622097015381,136,205.15240165336374,0,1702180805.7094412,1702180821.8291233,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
116,105,0.0,sgd,35098.96429732659,0.6087191104888916,115,35555.063230473206,0,1702180453.7160563,1702180454.3481052,0.0,StatusType.SUCCESS,[],['pca'],,Random Search
103,106,0.0,sgd,35243.72910494942,0.6335277557373047,102,33750.545414053595,0,1702180404.9371555,1702180405.5913787,0.0,StatusType.SUCCESS,[],['kitchen_sinks'],,Local Search
37,107,0.0,liblinear_svr,36260.36268515173,0.518622636795044,36,37300.52981355117,0,1702179783.177116,1702179783.716388,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
146,108,0.0,k_nearest_neighbors,37645.3676300578,0.48941922187805176,145,150.74116305587228,0,1702180959.6875067,1702180960.1977777,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search
31,109,0.0,k_nearest_neighbors,37752.464739884395,0.488081693649292,30,150.74116305587228,0,1702179770.2900097,1702179770.7967212,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Random Search (sorted)
