,basic-subset,extension,location,extension-location
CV - LinReg - Mean MAE,16616,17696,19231,17283
CV - LinReg - Mean MAPE,0.23530209023438275,0.2555177056453077,0.27754826178679926,0.2546857613061199
CV - LinReg - Mean RMSE,24611,26088,27320,25153
CV - LinReg - Mean R2Score,0.7223,0.6903,0.6609,0.7122
CV - Tree - Mean MAE,17692,17820,16748,16829
CV - Tree - Mean MAPE,0.2571360636485305,0.2590848522141576,0.23934713727401555,0.2390007601416472
CV - Tree - Mean RMSE,26871,27419,25788,26418
CV - Tree - Mean R2Score,0.6702,0.654,0.693,0.6788
CV - RandForest - Mean MAE,15430,14367,13937,13172
CV - RandForest - Mean MAPE,0.22447578834424098,0.21683120640193726,0.20750147741778607,0.20305277161944574
CV - RandForest - Mean RMSE,24019,22150,21603,20791
CV - RandForest - Mean R2Score,0.7353,0.7753,0.7865,0.8025
CV - SVR - Mean MAE,18793,17620,18638,17503
CV - SVR - Mean MAPE,0.24950748642882195,0.24115300970205208,0.24961474533994385,0.23525288742769263
CV - SVR - Mean RMSE,29411,27848,29055,27787
CV - SVR - Mean R2Score,0.6086,0.6485,0.6175,0.6492
CV - KNN - Mean MAE,16102,14991,14773,14268
CV - KNN - Mean MAPE,0.23503402340455568,0.22573007827175803,0.2202286531164614,0.21628137772172704
CV - KNN - Mean RMSE,24519,22750,23117,22010
CV - KNN - Mean R2Score,0.7248,0.7635,0.7562,0.7782
CV - AdaBoost - Mean MAE,24597,25157,23570,23380
CV - AdaBoost - Mean MAPE,0.364677109685223,0.37942873309478004,0.35055248142548606,0.35077220482994553
CV - AdaBoost - Mean RMSE,33331,33704,32033,31256
CV - AdaBoost - Mean R2Score,0.4927,0.4828,0.5336,0.5554
final-model,"RandomForestRegressor(criterion='absolute_error', max_depth=10, max_features=10,
                      min_samples_split=5, n_estimators=197)","RandomForestRegressor(criterion='absolute_error', max_depth=20, max_features=8,
                      min_samples_split=10, n_estimators=76)","RandomForestRegressor(max_features=26, min_samples_split=4, n_estimators=136)","RandomForestRegressor(bootstrap=False, max_features=18, min_samples_split=10,
                      n_estimators=142)"
Test-MAE,14202.06,12997.81,12546.32,11908.48
Test-MAPE,0.1676,0.1566,0.1526,0.147
Test-RMSE,21374.1,19426.79,18797.12,17684.62
Test-N-RMSE,0.0806,0.0733,0.0709,0.0667
Test-IQR-RMSE,0.3464,0.3149,0.3047,0.2866
Test-CV-RMSE,0.2346,0.2133,0.2063,0.1941
Test-R2,0.7757,0.8147,0.8265,0.8464
Training-Duration,378.73,787.05,884.938,1144.15
Test-Duration,3.64879e-05,1.6328e-05,3.69991e-05,3.55834e-05
