,working_hours,location,model,extension,const_year,price
0,8973,FI,308,D,2011,44900
1,4183,PL,308,E2,2016,49040
2,4655,PL,308,E2,2017,57943
3,3175,GB,308,E2,2015,45335
4,2500,GB,308,E2,2018,51222
5,6000,IT,308,D,2010,38000
6,3018,FR,308,E2,2017,59500
7,8055,FI,308,D,2011,42900
8,3071,DE,308,E2,2017,41176
9,415,NL,308,,2021,88500
10,5541,DE,308,C,2008,39900
11,7099,DE,308,E,2012,46500
12,3400,DE,308,E2,2014,50000
13,4209,DE,308,E,2014,47000
14,2000,GB,308,E2,2019,64554
15,3295,GB,308,,2019,66375
16,4500,GB,308,E,2014,38132
17,6390,FR,308,D,2010,30000
18,2956,FR,308,E2,2017,60000
19,4223,SE,308,E2,2016,65460
