,location-extension
CV - LinReg - Mean MAE,991606329
CV - LinReg - Mean MAPE,14109.745079958773
CV - LinReg - Mean RMSE,15741038585
CV - LinReg - Mean R2Score,-1460463016561.5981
CV - Tree - Mean MAE,15478
CV - Tree - Mean MAPE,0.1868112945314209
CV - Tree - Mean RMSE,23346
CV - Tree - Mean R2Score,0.6789
CV - RandForest - Mean MAE,12221
CV - RandForest - Mean MAPE,0.15284080852749948
CV - RandForest - Mean RMSE,18360
CV - RandForest - Mean R2Score,0.8042
CV - SVR - Mean MAE,15684
CV - SVR - Mean MAPE,0.1862495472200361
CV - SVR - Mean RMSE,23294
CV - SVR - Mean R2Score,0.6859
CV - KNN - Mean MAE,13067
CV - KNN - Mean MAPE,0.16396584515056795
CV - KNN - Mean RMSE,19466
CV - KNN - Mean R2Score,0.7802
CV - AdaBoost - Mean MAE,22412
CV - AdaBoost - Mean MAPE,0.30412147920264065
CV - AdaBoost - Mean RMSE,28678
CV - AdaBoost - Mean R2Score,0.5233
final-model,"RandomForestRegressor(max_depth=20, max_features=21, min_samples_split=6,
                      n_estimators=104)"
Test-MAE,12378.23
Test-MAPE,0.1474
Test-RMSE,17669.96
Test-N-RMSE,0.083
Test-IQR-RMSE,0.3506
Test-CV-RMSE,0.1951
Test-R2,0.7935
Training-Duration,1634.391
Test-Duration,2.52851e-05
