model_id,rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
155,1,0.04,gradient_boosting,12062.942223373724,0.9570183753967285,154,5944.583827200444,0,1702478700.6525466,1702478701.6305277,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
69,2,0.0,gradient_boosting,12079.79135794943,1.011899471282959,68,7755.6197277181955,0,1702478362.7619636,1702478363.79469,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
96,3,0.0,gradient_boosting,12157.2816368735,1.6387035846710205,95,5776.053598835059,0,1702478461.3060894,1702478462.9630797,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
41,4,0.0,gradient_boosting,12182.04194177671,0.9564471244812012,40,6516.603188563239,0,1702478225.2677324,1702478226.2423098,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
34,5,0.1,gradient_boosting,12198.684632446728,0.9402773380279541,33,6414.095325212648,0,1702478100.7533927,1702478101.7120748,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
97,6,0.0,gradient_boosting,12230.183776635655,2.0230953693389893,96,6270.006590930104,0,1702478467.6300824,1702478469.672585,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
119,7,0.02,gradient_boosting,12248.684325292617,0.912895917892456,118,11207.280436390532,0,1702478550.5706348,1702478551.5023248,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
108,8,0.0,gradient_boosting,12373.729291716687,0.7884225845336914,107,11042.669085151627,0,1702478499.1369686,1702478499.943083,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
87,9,0.1,gradient_boosting,12461.618383290815,1.4007365703582764,86,5429.353223234098,0,1702478430.3141496,1702478431.733595,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
2,10,0.0,random_forest,12472.006658913566,3.0506553649902344,1,4840.281902967826,0,1702477602.1242948,1702477605.1968894,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Initial design
161,11,0.14,gradient_boosting,12502.727224874325,1.0990054607391357,160,4559.689124907544,0,1702478778.5903294,1702478779.70835,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
112,12,0.04,gradient_boosting,12503.328052314675,3.398733377456665,111,2440.4106924926036,0,1702478522.7335541,1702478526.1516345,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
91,13,0.0,gradient_boosting,12553.055859843938,0.8806908130645752,90,11898.859578402367,0,1702478444.0790339,1702478444.9779096,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
146,14,0.0,extra_trees,12608.627644807922,6.987357139587402,145,9993.95941891642,0,1702478665.1524348,1702478672.1586113,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
90,15,0.02,gradient_boosting,12618.04803327581,0.8931214809417725,89,10773.607457701553,0,1702478437.752132,1702478438.6644301,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Random Search
171,16,0.04,gradient_boosting,12675.621175814076,1.2829744815826416,170,10379.68502681213,0,1702478815.517434,1702478816.8216136,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Local Search
14,17,0.02,gradient_boosting,12733.577194158914,3.8916563987731934,13,3879.3939071745563,0,1702477647.6886024,1702477651.6015885,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Initial design
25,18,0.16,adaboost,12861.16668855042,0.9111442565917969,24,5405.969016965607,0,1702478079.8219671,1702478080.753218,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Initial design
64,19,0.0,extra_trees,13160.39321822479,6.228789567947388,63,12327.199362056213,0,1702478296.5625923,1702478302.8099616,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
74,20,0.0,gradient_boosting,13322.589065313625,1.2070682048797607,73,10158.018882904955,0,1702478386.1033428,1702478387.3294547,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
19,21,0.0,extra_trees,13532.33462447479,1.1582906246185303,18,12178.576881471894,0,1702477840.8058136,1702477841.9847493,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Initial design
46,22,0.0,random_forest,13598.45909457533,1.1933228969573975,45,11027.752107988166,0,1702478251.3314068,1702478252.5442233,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
23,23,0.12,mlp,13775.26049482293,4.388871431350708,22,10735.979512990014,0,1702477894.0553648,1702477898.4666069,0.0,StatusType.SUCCESS,[],['polynomial'],,Initial design
151,24,0.0,gradient_boosting,13853.503248565052,2.1430747509002686,150,4096.890686251849,0,1702478681.2663994,1702478683.4292734,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
78,25,0.1,gradient_boosting,13880.274960374774,1.8890442848205566,77,40.157397027551774,0,1702478394.9366086,1702478396.8437188,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
102,26,0.0,gradient_boosting,14002.784565388656,0.8178918361663818,101,7897.319760077663,0,1702478483.0926933,1702478483.9304237,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Local Search
168,27,0.1,mlp,14084.925426029788,2.120621919631958,167,14422.407241586538,0,1702478806.706257,1702478808.8460877,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Random Search
165,28,0.0,random_forest,14229.595353766506,1.3254806995391846,164,13807.398576183432,0,1702478792.2665865,1702478793.6105974,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
110,29,0.0,extra_trees,14249.625792504501,1.0958547592163086,109,13766.413075536242,0,1702478511.0403652,1702478512.1542423,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
192,30,0.0,gradient_boosting,14275.627694046369,0.9406113624572754,191,9830.425716531065,0,1702479361.8848681,1702479362.8425336,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
9,31,0.0,random_forest,14444.897185436675,25.162132740020752,8,8183.312476886094,0,1702477620.2393467,1702477645.4240625,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Initial design
158,32,0.0,libsvm_svr,14512.102474583584,0.8129150867462158,157,14483.072288738906,0,1702478708.6137185,1702478709.4430895,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Local Search
43,33,0.0,extra_trees,14610.391347163866,18.177479028701782,42,14384.797709411981,0,1702478227.8245609,1702478246.022913,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search
104,34,0.0,extra_trees,14686.507390456183,1.1966235637664795,103,13367.479592732989,0,1702478490.0162272,1702478491.2338228,0.0,StatusType.SUCCESS,[],['fast_ica'],,Random Search
15,35,0.0,extra_trees,14731.849869635354,6.683282852172852,14,14639.12643537352,0,1702477651.7108293,1702477658.414905,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Initial design
47,36,0.0,gradient_boosting,14734.480597707834,1.043604850769043,46,10663.636050758136,0,1702478256.6250832,1702478257.6906574,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Local Search
135,37,0.0,extra_trees,14977.968379539316,3.1516366004943848,134,14535.915698964496,0,1702478610.8576736,1702478614.0286598,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Local Search
193,38,0.0,gradient_boosting,15043.699035864345,1.5100829601287842,192,6596.9478527181955,0,1702479367.9966314,1702479369.5279384,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
83,39,0.0,k_nearest_neighbors,15071.323449692378,0.8475997447967529,82,3369.2787953032544,0,1702478410.0193667,1702478410.8881433,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search
145,40,0.0,gradient_boosting,15206.446874062125,0.7705204486846924,144,13815.145684633875,0,1702478659.0909147,1702478659.8811486,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
127,41,0.0,liblinear_svr,15315.103480454682,0.5227982997894287,126,14983.333582770894,0,1702478584.4465804,1702478584.987424,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
93,42,0.0,gradient_boosting,15412.398432810623,2.269360065460205,92,128.07396449704143,0,1702478451.2410026,1702478453.5317225,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
73,43,0.0,gradient_boosting,15480.938841161465,0.7131953239440918,72,11532.2507327108,0,1702478380.5268486,1702478381.258373,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
48,44,0.0,ard_regression,15524.240616559124,1.030013084411621,47,15187.794460463665,0,1702478258.0907803,1702478259.141905,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Random Search
70,45,0.0,gradient_boosting,15583.743101928272,0.9695427417755127,69,13428.587085105399,0,1702478368.4681146,1702478369.456117,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
164,46,0.0,liblinear_svr,15659.239676925457,0.5267739295959473,163,15493.202081985022,0,1702478786.5481346,1702478787.0925977,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
120,47,0.0,liblinear_svr,15875.696763861795,0.5343458652496338,119,15004.009311436761,0,1702478556.768704,1702478557.322658,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Local Search
