model_id,rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
64,1,0.04,extra_trees,13727.426156069365,1.6826043128967285,63,5386.901592119798,0,1702548779.882382,1702548781.5897741,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
2,2,0.08,random_forest,13767.881177745665,3.422935962677002,1,5112.019368675171,0,1702547467.219213,1702547470.667479,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Initial design
92,3,0.1,gradient_boosting,14171.563793804191,1.0836255550384521,91,10243.75835256022,0,1702549198.0406187,1702549199.1464975,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
21,4,0.04,adaboost,14246.866553016618,1.0270023345947266,20,5308.375928124109,0,1702547711.640812,1702547712.6915252,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Initial design
18,5,0.0,extra_trees,14258.283571170521,1.282193660736084,17,12701.916592431586,0,1702547708.7913694,1702547710.0966477,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Initial design
58,6,0.0,random_forest,14327.377375361271,4.845649003982544,57,12660.952672908352,0,1702548749.5763447,1702548754.447078,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
51,7,0.08,random_forest,14339.188208995665,13.27826189994812,50,13278.205893226197,0,1702548694.0607436,1702548707.3617866,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Local Search
87,8,0.0,gradient_boosting,14477.373954570086,1.2363579273223877,86,9518.27429046109,0,1702549182.2652974,1702549183.5224452,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
65,9,0.04,gradient_boosting,14597.64516799133,56.48416614532471,64,1107.0833691517603,0,1702548786.5635014,1702548843.070584,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
24,10,0.16,mlp,14642.682999909683,9.303109645843506,23,9624.34818573172,0,1702548075.1657405,1702548084.493587,0.0,StatusType.SUCCESS,[],['polynomial'],,Initial design
84,11,0.0,extra_trees,14651.579226878614,1.5292115211486816,83,13897.757291369726,0,1702549133.1819253,1702549134.732964,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
68,12,0.12,gradient_boosting,14720.856028721098,1.5941534042358398,67,4274.842442720211,0,1702548858.995688,1702548860.6114383,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
45,13,0.0,extra_trees,14783.603165643064,5.314528226852417,44,14949.801747790763,0,1702548656.4760392,1702548661.8123713,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
15,14,0.0,gradient_boosting,14833.49714369581,5.461147785186768,14,4582.121774114524,0,1702547701.940599,1702547707.4276657,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Initial design
37,15,0.0,extra_trees,14852.730744219652,5.31755256652832,36,13203.609951806586,0,1702548613.3116188,1702548618.6544325,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search
39,16,0.0,random_forest,15064.553585621386,2.126779317855835,38,13881.985223506985,0,1702548622.8588092,1702548625.00629,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
93,17,0.0,liblinear_svr,15220.127117955202,1.168544054031372,92,10463.399442735801,0,1702549204.1165571,1702549205.3090816,0.0,StatusType.SUCCESS,[],['nystroem_sampler'],,Local Search
67,18,0.0,extra_trees,15228.22663023844,1.2334215641021729,66,15504.379164588085,0,1702548852.552636,1702548853.8107193,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
102,19,0.0,extra_trees,15348.467512644509,8.131168603897095,101,15689.166403132127,0,1702549230.3393178,1702549238.493495,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search
13,20,0.02,extra_trees,15402.795131864163,6.869060277938843,12,15737.197628634549,0,1702547513.7205067,1702547520.6164303,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Initial design
43,21,0.0,random_forest,15488.908815028903,1.2208070755004883,42,14391.741552790052,0,1702548643.7659903,1702548645.0079014,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
88,22,0.0,extra_trees,15797.617006864162,1.1705918312072754,87,16272.210193664481,0,1702549188.0916903,1702549189.2884107,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
56,23,0.18,gradient_boosting,15803.84852781792,14.015713214874268,55,215.71585789401013,0,1702548729.9489818,1702548743.9908085,0.0,StatusType.SUCCESS,[],['fast_ica'],,Random Search
41,24,0.06,mlp,15925.039449738078,2.3529229164123535,40,14146.330222326646,0,1702548629.5436316,1702548631.9177713,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
9,25,0.0,random_forest,16161.588852510838,24.24815058708191,8,9051.836082258409,0,1702547487.502789,1702547511.7767844,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Initial design
75,26,0.0,extra_trees,16178.044562861272,1.2474339008331299,74,16525.821343625284,0,1702548880.4542649,1702548881.72442,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
82,27,0.0,random_forest,16235.597877528902,4.358415365219116,81,15795.677251104618,0,1702549080.6501422,1702549085.0322506,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
29,28,0.0,gaussian_process,16247.700794797687,128.39769506454468,28,15409.095217627566,0,1702548270.616526,1702548399.036442,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Random Search
57,29,0.0,adaboost,16557.088696712428,0.7254843711853027,56,15433.328748574686,0,1702548744.5378306,1702548745.2878385,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Random Search
32,30,0.0,random_forest,16686.7485503974,11.566516876220703,31,16488.759153185576,0,1702548586.7591438,1702548598.3503053,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Random Search (sorted)
80,31,0.0,extra_trees,17584.10942919075,171.4975597858429,79,15207.275459663626,0,1702548901.6470647,1702549073.168134,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Local Search
62,32,0.06,mlp,17743.553594653178,11.310318946838379,61,11324.511121899943,0,1702548758.3102484,1702548769.6448262,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search
89,33,0.0,ard_regression,17869.862471211163,0.7442004680633545,88,17820.676065199186,0,1702549190.189999,1702549190.9566467,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search
49,34,0.0,random_forest,18165.669644147398,8.936105966567993,48,16050.893553573973,0,1702548672.6657097,1702548681.6238518,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Random Search (sorted)
76,35,0.0,extra_trees,18230.73449692919,1.4278109073638916,75,14935.469865753279,0,1702548886.9280107,1702548888.37769,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
50,36,0.0,gradient_boosting,18321.576709266617,2.5278000831604004,49,14544.71445401582,0,1702548686.3458772,1702548688.8976705,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Local Search
44,37,0.0,random_forest,18546.47738665101,3.0971577167510986,43,5663.90395891979,0,1702548649.0706186,1702548652.1918592,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
34,38,0.02,gradient_boosting,18645.51237807081,1.4883840084075928,33,5808.520248917653,0,1702548603.114226,1702548604.6245482,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
71,39,0.0,liblinear_svr,18840.989090159863,0.7974169254302979,70,19376.857364528398,0,1702548867.911587,1702548868.7322156,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Local Search
86,40,0.0,extra_trees,19762.48310151734,35.73350286483765,85,19086.899277098775,0,1702549141.2214472,1702549176.9786432,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search (sorted)
83,41,0.0,extra_trees,19770.343935151734,38.376381158828735,82,16136.52332837443,0,1702549089.7921653,1702549128.1936474,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
63,42,0.0,ard_regression,20694.73399566474,0.6712338924407959,62,21358.712843300134,0,1702548774.7727478,1702548775.4664507,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Random Search (sorted)
52,43,0.0,random_forest,21236.39995484104,10.35074782371521,51,11938.842785686289,0,1702548712.0579925,1702548722.435614,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Local Search
103,44,0.0,sgd,21297.527085214955,1.4730796813964844,102,21823.23126492125,0,1702549244.3198082,1702549245.815564,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Local Search
35,45,0.0,adaboost,21657.255662933527,0.9168035984039307,34,22590.124699347918,0,1702548607.7534006,1702548608.6920564,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
42,46,0.0,extra_trees,21748.223830382947,3.437565565109253,41,19556.276029789053,0,1702548636.0420349,1702548639.5018327,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Local Search
72,47,0.0,liblinear_svr,22887.52233421017,0.5870649814605713,71,24373.160527054235,0,1702548873.8039982,1702548874.4121761,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
33,48,0.0,extra_trees,23840.99753432081,1.1559333801269531,32,24632.97840649943,0,1702548598.6179156,1702548599.7996767,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Random Search
99,49,0.0,extra_trees,24449.801499277455,1.0730316638946533,98,25230.457153737883,0,1702549221.333044,1702549222.4305196,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search
8,50,0.0,random_forest,25702.187919978325,3.0999107360839844,7,10933.98791267282,0,1702547484.2775967,1702547487.4037504,0.0,StatusType.SUCCESS,[],['fast_ica'],,Initial design
101,51,0.0,random_forest,25989.37251174133,1.2816836833953857,100,23521.735559791905,0,1702549228.127387,1702549229.4289365,0.0,StatusType.SUCCESS,[],['pca'],,Local Search
98,52,0.0,liblinear_svr,26175.3658507948,0.6143159866333008,97,27249.196578579318,0,1702549219.7947583,1702549220.4317093,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Random Search
59,53,0.0,k_nearest_neighbors,27766.149905166185,0.7652781009674072,58,28000.74570178877,0,1702548755.0391412,1702548755.8275795,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search
94,54,0.0,k_nearest_neighbors,27906.319829299133,0.8412520885467529,93,26457.328581545753,0,1702549206.220791,1702549207.085927,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search
79,55,0.0,mlp,27962.365762734826,1.6158099174499512,78,25936.86934801926,0,1702548895.2108588,1702548896.848939,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
20,56,0.0,k_nearest_neighbors,28028.707726697976,0.5852501392364502,19,2391.1242873432157,0,1702547710.8563712,1702547711.464412,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Initial design
85,57,0.0,decision_tree,28904.091112716764,0.5615465641021729,84,28656.262186431013,0,1702549135.6293244,1702549136.2118764,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Random Search
